Size,Algo,Trial,Stampms,GB/s,Iters,GHz
60000,fill256_0,0,0.00,69.2,2,3.49
60000,fill256_0,1,0.00,68.6,2,3.49
60000,fill256_0,2,0.00,61.7,2,3.46
60000,fill256_0,3,0.00,65.7,2,3.52
60000,fill256_0,4,0.00,60.9,2,3.49
60000,fill256_0,5,0.00,66.2,2,3.49
60000,fill256_0,6,0.00,64.4,2,3.48
60000,fill256_0,7,0.00,63.6,2,3.49
60000,fill256_0,8,0.00,62.6,2,3.49
60000,fill256_0,9,0.00,67.8,2,3.49
60000,fill256_0,10,0.00,63.7,2,3.49
60000,fill256_0,11,0.00,61.7,2,3.50
60000,fill256_0,12,0.00,62.6,2,3.50
60000,fill256_0,13,0.00,61.9,2,3.50
60000,fill256_0,14,0.00,59.6,2,3.50
60000,fill256_0,15,0.00,59.7,2,3.50
60000,fill256_0,16,0.00,59.3,2,3.47
60000,fill512_0,0,0.00,62.9,2,3.50
60000,fill512_0,1,0.00,62.5,2,3.50
60000,fill512_0,2,0.00,61.0,2,3.50
60000,fill512_0,3,0.00,59.8,2,3.50
60000,fill512_0,4,0.00,61.5,2,3.49
60000,fill512_0,5,0.00,60.9,2,3.49
60000,fill512_0,6,0.00,62.0,2,3.49
60000,fill512_0,7,0.00,62.8,2,3.49
60000,fill512_0,8,0.00,61.2,2,3.49
60000,fill512_0,9,0.00,61.5,2,3.49
60000,fill512_0,10,0.00,58.7,2,3.49
60000,fill512_0,11,0.00,61.0,2,3.49
60000,fill512_0,12,0.00,60.5,2,3.49
60000,fill512_0,13,0.00,61.6,2,3.49
60000,fill512_0,14,0.00,60.9,2,3.49
60000,fill512_0,15,0.00,59.9,2,3.50
60000,fill512_0,16,0.00,60.1,2,3.50
60000,fill256_1,0,0.00,61.4,2,3.49
60000,fill256_1,1,0.00,62.5,2,3.49
60000,fill256_1,2,0.00,59.7,2,3.47
60000,fill256_1,3,0.00,65.0,2,3.53
60000,fill256_1,4,0.00,58.3,2,3.50
60000,fill256_1,5,0.00,62.4,2,3.50
60000,fill256_1,6,0.00,62.0,2,3.50
60000,fill256_1,7,0.00,63.4,2,3.50
60000,fill256_1,8,0.00,63.0,2,3.50
60000,fill256_1,9,0.00,60.2,2,3.49
60000,fill256_1,10,0.00,60.2,2,3.49
60000,fill256_1,11,0.00,59.9,2,3.49
60000,fill256_1,12,0.00,65.0,2,3.49
60000,fill256_1,13,0.00,62.9,2,3.49
60000,fill256_1,14,0.00,63.2,2,3.49
60000,fill256_1,15,0.00,63.6,2,3.49
60000,fill256_1,16,0.00,58.4,2,3.49
60000,fill512_1,0,0.00,62.7,2,3.49
60000,fill512_1,1,0.00,62.4,2,3.49
60000,fill512_1,2,0.00,59.7,2,3.49
60000,fill512_1,3,0.00,63.3,2,3.49
60000,fill512_1,4,0.00,60.5,2,3.49
60000,fill512_1,5,0.00,61.9,2,3.49
60000,fill512_1,6,0.00,64.3,2,3.50
60000,fill512_1,7,0.00,61.0,2,3.50
60000,fill512_1,8,0.00,60.9,2,3.50
60000,fill512_1,9,0.00,63.8,2,3.50
60000,fill512_1,10,0.00,60.3,2,3.50
60000,fill512_1,11,0.00,60.3,2,3.50
60000,fill512_1,12,0.00,60.6,2,3.50
60000,fill512_1,13,0.00,60.9,2,3.49
60000,fill512_1,14,0.00,59.5,2,3.49
60000,fill512_1,15,0.00,64.5,2,3.49
60000,fill512_1,16,0.00,63.4,2,3.49
66000,fill256_0,0,0.00,67.6,2,3.49
66000,fill256_0,1,0.00,60.6,2,3.49
66000,fill256_0,2,0.00,64.0,2,3.49
66000,fill256_0,3,0.00,62.4,2,3.49
66000,fill256_0,4,0.00,57.7,2,3.49
66000,fill256_0,5,0.00,57.9,2,3.48
66000,fill256_0,6,0.00,58.7,2,3.49
66000,fill256_0,7,0.00,60.4,2,3.49
66000,fill256_0,8,0.00,65.4,2,3.49
66000,fill256_0,9,0.00,67.2,2,3.49
66000,fill256_0,10,0.00,63.9,2,3.50
66000,fill256_0,11,0.00,60.7,2,3.50
66000,fill256_0,12,0.00,64.4,2,3.50
66000,fill256_0,13,0.00,67.4,2,3.50
66000,fill256_0,14,0.00,62.6,2,3.50
66000,fill256_0,15,0.00,61.5,2,3.49
66000,fill256_0,16,0.00,65.4,2,3.49
66000,fill512_0,0,0.00,59.4,2,3.50
66000,fill512_0,1,0.00,20.1,2,3.49
66000,fill512_0,2,0.00,62.4,2,3.49
66000,fill512_0,3,0.00,62.5,2,3.49
66000,fill512_0,4,0.00,61.9,2,3.49
66000,fill512_0,5,0.00,62.6,2,3.49
66000,fill512_0,6,0.00,60.1,2,3.49
66000,fill512_0,7,0.00,61.5,2,3.49
66000,fill512_0,8,0.00,59.6,2,3.49
66000,fill512_0,9,0.00,66.9,2,3.50
66000,fill512_0,10,0.00,62.9,2,3.50
66000,fill512_0,11,0.00,64.9,2,3.50
66000,fill512_0,12,0.00,66.5,2,3.49
66000,fill512_0,13,0.00,61.3,2,3.50
66000,fill512_0,14,0.00,60.4,2,3.49
66000,fill512_0,15,0.00,59.2,2,3.49
66000,fill512_0,16,0.00,60.3,2,3.49
66000,fill256_1,0,0.00,67.1,2,3.49
66000,fill256_1,1,0.00,62.3,2,3.50
66000,fill256_1,2,0.00,61.2,2,3.49
66000,fill256_1,3,0.00,66.0,2,3.49
66000,fill256_1,4,0.00,56.1,2,3.49
66000,fill256_1,5,0.00,60.2,2,3.49
66000,fill256_1,6,0.00,62.4,2,3.48
66000,fill256_1,7,0.00,56.8,2,3.49
66000,fill256_1,8,0.00,60.6,2,3.49
66000,fill256_1,9,0.00,63.9,2,3.49
66000,fill256_1,10,0.00,64.8,2,3.49
66000,fill256_1,11,0.00,62.9,2,3.50
66000,fill256_1,12,0.00,64.5,2,3.50
66000,fill256_1,13,0.00,63.1,2,3.50
66000,fill256_1,14,0.00,62.7,2,3.50
66000,fill256_1,15,0.00,61.1,2,3.50
66000,fill256_1,16,0.00,65.4,2,3.50
66000,fill512_1,0,0.00,61.3,2,3.50
66000,fill512_1,1,0.00,65.0,2,3.50
66000,fill512_1,2,0.00,61.1,2,3.50
66000,fill512_1,3,0.00,67.1,2,3.50
66000,fill512_1,4,0.00,58.9,2,3.49
66000,fill512_1,5,0.00,62.9,2,3.49
66000,fill512_1,6,0.00,59.6,2,3.49
66000,fill512_1,7,0.00,59.1,2,3.49
66000,fill512_1,8,0.00,59.8,2,3.49
