Size,Algo,Trial,Stampms,GB/s,Iters
100,fill0,0,0.00,22.5,1000
100,fill0,1,0.00,22.5,1000
100,fill0,2,0.00,22.5,1000
100,fill0,3,0.00,22.4,1000
100,fill0,4,0.00,22.4,1000
100,fill0,5,0.00,22.5,1000
100,fill0,6,0.00,22.5,1000
100,fill0,7,0.00,22.5,1000
100,fill0,8,0.00,22.5,1000
100,fill0,9,0.00,22.5,1000
100,fill0,10,0.00,22.4,1000
100,fill0,11,0.00,22.4,1000
100,fill0,12,0.00,22.5,1000
100,fill0,13,0.00,22.5,1000
100,fill0,14,0.00,22.5,1000
100,fill0,15,0.00,22.5,1000
100,fill0,16,0.00,22.5,1000
100,fill1,0,0.00,22.4,1000
100,fill1,1,0.00,22.4,1000
100,fill1,2,0.00,22.5,1000
100,fill1,3,0.00,22.5,1000
100,fill1,4,0.00,22.5,1000
100,fill1,5,0.00,22.5,1000
100,fill1,6,0.00,22.5,1000
100,fill1,7,0.00,22.4,1000
100,fill1,8,0.00,22.4,1000
100,fill1,9,0.00,22.5,1000
100,fill1,10,0.00,22.5,1000
100,fill1,11,0.00,22.5,1000
100,fill1,12,0.00,22.5,1000
100,fill1,13,0.00,22.5,1000
100,fill1,14,0.00,22.5,1000
100,fill1,15,0.00,22.4,1000
100,fill1,16,0.00,22.5,1000
100,fill01,0,0.00,23.7,1000
100,fill01,1,0.00,23.6,1000
100,fill01,2,0.00,23.6,1000
100,fill01,3,0.00,23.7,1000
100,fill01,4,0.00,23.7,1000
100,fill01,5,0.00,23.6,1000
100,fill01,6,0.00,23.6,1000
100,fill01,7,0.00,23.7,1000
100,fill01,8,0.00,23.7,1000
100,fill01,9,0.00,23.6,1000
100,fill01,10,0.00,23.6,1000
100,fill01,11,0.00,23.7,1000
100,fill01,12,0.00,23.7,1000
100,fill01,13,0.00,23.6,1000
100,fill01,14,0.00,23.6,1000
100,fill01,15,0.00,23.7,1000
100,fill01,16,0.00,23.7,1000
132,fill0,0,0.00,28.5,752
132,fill0,1,0.00,28.4,752
132,fill0,2,0.00,28.4,752
132,fill0,3,0.00,28.4,752
132,fill0,4,0.00,28.4,752
132,fill0,5,0.00,28.3,752
132,fill0,6,0.00,28.4,752
132,fill0,7,0.00,28.4,752
132,fill0,8,0.00,28.5,752
132,fill0,9,0.00,28.5,752
132,fill0,10,0.00,28.5,752
132,fill0,11,0.00,28.4,752
132,fill0,12,0.00,28.4,752
132,fill0,13,0.00,28.4,752
132,fill0,14,0.00,28.4,752
132,fill0,15,0.00,28.4,752
132,fill0,16,0.00,28.5,752
132,fill1,0,0.00,28.4,752
132,fill1,1,0.00,28.4,752
132,fill1,2,0.00,28.4,752
132,fill1,3,0.00,28.5,752
132,fill1,4,0.00,28.5,752
132,fill1,5,0.00,28.5,752
132,fill1,6,0.00,28.4,752
132,fill1,7,0.00,28.4,752
132,fill1,8,0.00,28.4,752
132,fill1,9,0.00,28.4,752
132,fill1,10,0.00,28.4,752
132,fill1,11,0.00,28.4,752
132,fill1,12,0.00,28.4,752
132,fill1,13,0.00,28.5,752
132,fill1,14,0.00,28.4,752
132,fill1,15,0.00,28.5,752
132,fill1,16,0.00,28.4,752
132,fill01,0,0.00,30.8,752
132,fill01,1,0.00,30.8,752
132,fill01,2,0.00,30.8,752
132,fill01,3,0.00,30.7,752
132,fill01,4,0.00,30.8,752
132,fill01,5,0.00,30.8,752
132,fill01,6,0.00,30.8,752
132,fill01,7,0.00,30.8,752
132,fill01,8,0.00,30.7,752
132,fill01,9,0.00,30.8,752
132,fill01,10,0.00,30.8,752
132,fill01,11,0.00,30.8,752
132,fill01,12,0.00,30.7,752
132,fill01,13,0.00,30.7,752
132,fill01,14,0.00,30.8,752
132,fill01,15,0.00,30.8,752
132,fill01,16,0.00,30.8,752
176,fill0,0,0.00,33.1,565
176,fill0,1,0.00,33.1,565
176,fill0,2,0.00,33.1,565
176,fill0,3,0.00,33.1,565
176,fill0,4,0.00,33.1,565
176,fill0,5,0.00,33.0,565
176,fill0,6,0.00,33.0,565
176,fill0,7,0.00,33.0,565
176,fill0,8,0.00,33.0,565
176,fill0,9,0.00,33.0,565
176,fill0,10,0.00,33.1,565
176,fill0,11,0.00,33.1,565
176,fill0,12,0.00,33.1,565
176,fill0,13,0.00,33.1,565
176,fill0,14,0.00,33.1,565
176,fill0,15,0.00,33.1,565
176,fill0,16,0.00,33.1,565
176,fill1,0,0.00,33.1,565
176,fill1,1,0.00,33.1,565
176,fill1,2,0.00,33.1,565
176,fill1,3,0.00,33.1,565
176,fill1,4,0.00,33.1,565
176,fill1,5,0.00,33.0,565
176,fill1,6,0.00,33.0,565
176,fill1,7,0.00,33.0,565
176,fill1,8,0.00,33.0,565
176,fill1,9,0.00,33.0,565
176,fill1,10,0.00,33.1,565
176,fill1,11,0.00,33.1,565
176,fill1,12,0.00,33.1,565
176,fill1,13,0.00,33.1,565
176,fill1,14,0.00,33.1,565
176,fill1,15,0.00,33.0,565
176,fill1,16,0.00,33.0,565
176,fill01,0,0.00,33.5,565
176,fill01,1,0.00,33.5,565
176,fill01,2,0.00,33.4,565
176,fill01,3,0.00,33.4,565
176,fill01,4,0.00,33.4,565
176,fill01,5,0.00,33.5,565
176,fill01,6,0.00,33.5,565
176,fill01,7,0.00,33.4,565
176,fill01,8,0.00,33.4,565
176,fill01,9,0.00,33.4,565
176,fill01,10,0.00,33.4,565
176,fill01,11,0.00,33.5,565
176,fill01,12,0.00,33.5,565
176,fill01,13,0.00,33.4,565
176,fill01,14,0.00,33.4,565
176,fill01,15,0.00,33.4,565
176,fill01,16,0.00,33.5,565
236,fill0,0,0.00,40.6,424
236,fill0,1,0.00,40.7,424
236,fill0,2,0.00,40.7,424
236,fill0,3,0.00,40.7,424
236,fill0,4,0.00,40.7,424
236,fill0,5,0.00,40.8,424
236,fill0,6,0.00,40.8,424
236,fill0,7,0.00,40.9,424
236,fill0,8,0.00,40.8,424
236,fill0,9,0.00,40.8,424
236,fill0,10,0.00,40.7,424
236,fill0,11,0.00,40.7,424
236,fill0,12,0.00,40.6,424
236,fill0,13,0.00,40.7,424
236,fill0,14,0.00,40.6,424
236,fill0,15,0.00,40.7,424
236,fill0,16,0.00,40.7,424
236,fill1,0,0.00,40.7,424
236,fill1,1,0.00,40.7,424
236,fill1,2,0.00,40.7,424
236,fill1,3,0.00,40.7,424
236,fill1,4,0.00,40.6,424
236,fill1,5,0.00,40.7,424
236,fill1,6,0.00,40.7,424
236,fill1,7,0.00,40.8,424
236,fill1,8,0.00,40.7,424
236,fill1,9,0.00,40.9,424
236,fill1,10,0.00,40.8,424
236,fill1,11,0.00,40.9,424
236,fill1,12,0.00,40.8,424
236,fill1,13,0.00,40.8,424
236,fill1,14,0.00,40.7,424
236,fill1,15,0.00,40.7,424
236,fill1,16,0.00,40.7,424
236,fill01,0,0.00,42.1,424
236,fill01,1,0.00,42.2,424
236,fill01,2,0.00,42.2,424
236,fill01,3,0.00,42.3,424
236,fill01,4,0.00,42.2,424
236,fill01,5,0.00,42.2,424
236,fill01,6,0.00,42.1,424
236,fill01,7,0.00,42.1,424
236,fill01,8,0.00,42.2,424
236,fill01,9,0.00,42.2,424
236,fill01,10,0.00,42.2,424
236,fill01,11,0.00,42.2,424
236,fill01,12,0.00,42.1,424
236,fill01,13,0.00,42.1,424
236,fill01,14,0.00,42.1,424
236,fill01,15,0.00,42.2,424
236,fill01,16,0.00,42.2,424
312,fill0,0,0.00,53.2,319
312,fill0,1,0.00,53.2,319
312,fill0,2,0.00,53.2,319
312,fill0,3,0.00,53.1,319
312,fill0,4,0.00,53.1,319
312,fill0,5,0.00,53.1,319
312,fill0,6,0.00,53.0,319
312,fill0,7,0.00,53.1,319
312,fill0,8,0.00,53.1,319
312,fill0,9,0.00,53.1,319
312,fill0,10,0.00,31.6,319
312,fill0,11,0.00,52.8,319
312,fill0,12,0.00,53.0,319
312,fill0,13,0.00,53.3,319
312,fill0,14,0.00,53.3,319
312,fill0,15,0.00,53.3,319
312,fill0,16,0.00,53.2,319
312,fill1,0,0.00,53.1,319
312,fill1,1,0.00,53.1,319
312,fill1,2,0.00,53.1,319
312,fill1,3,0.00,53.1,319
312,fill1,4,0.00,53.1,319
312,fill1,5,0.00,53.2,319
312,fill1,6,0.00,53.1,319
312,fill1,7,0.00,53.3,319
312,fill1,8,0.00,53.2,319
312,fill1,9,0.00,53.2,319
312,fill1,10,0.00,53.3,319
312,fill1,11,0.00,53.3,319
312,fill1,12,0.00,53.2,319
312,fill1,13,0.00,53.2,319
312,fill1,14,0.00,53.2,319
312,fill1,15,0.00,53.1,319
312,fill1,16,0.00,53.1,319
312,fill01,0,0.00,55.9,319
312,fill01,1,0.00,55.8,319
312,fill01,2,0.00,55.7,319
312,fill01,3,0.00,55.7,319
312,fill01,4,0.00,55.6,319
312,fill01,5,0.00,55.6,319
312,fill01,6,0.00,55.7,319
312,fill01,7,0.00,55.8,319
312,fill01,8,0.00,55.8,319
312,fill01,9,0.00,55.9,319
312,fill01,10,0.00,55.8,319
312,fill01,11,0.00,55.7,319
312,fill01,12,0.00,55.7,319
312,fill01,13,0.00,55.6,319
312,fill01,14,0.00,55.7,319
312,fill01,15,0.00,55.7,319
312,fill01,16,0.00,55.8,319
416,fill0,0,0.00,78.3,240
416,fill0,1,0.00,78.3,240
416,fill0,2,0.00,78.3,240
416,fill0,3,0.00,78.3,240
416,fill0,4,0.00,78.4,240
416,fill0,5,0.00,78.4,240
416,fill0,6,0.00,78.5,240
416,fill0,7,0.00,78.5,240
416,fill0,8,0.00,78.5,240
416,fill0,9,0.00,78.3,240
416,fill0,10,0.00,78.3,240
416,fill0,11,0.00,78.2,240
416,fill0,12,0.00,78.4,240
416,fill0,13,0.00,78.2,240
416,fill0,14,0.00,78.3,240
416,fill0,15,0.00,78.3,240
416,fill0,16,0.00,78.2,240
416,fill1,0,0.00,78.2,240
416,fill1,1,0.00,78.1,240
416,fill1,2,0.00,78.2,240
416,fill1,3,0.00,78.1,240
416,fill1,4,0.00,78.1,240
416,fill1,5,0.00,78.2,240
416,fill1,6,0.00,78.1,240
416,fill1,7,0.00,78.2,240
416,fill1,8,0.00,78.3,240
416,fill1,9,0.00,78.2,240
416,fill1,10,0.00,78.3,240
416,fill1,11,0.00,78.4,240
416,fill1,12,0.00,78.3,240
416,fill1,13,0.00,78.5,240
416,fill1,14,0.00,78.5,240
416,fill1,15,0.00,78.5,240
