Size,Algo,Trial,Stampms,GB/s,Iters,l2-out-silent,l2-out-non-silent,GHz
60000,fill256_0,0,0.00,57.1,2,0.00,0.00,3.49
60000,fill256_0,1,0.00,59.7,2,0.00,0.00,3.50
60000,fill256_0,2,0.00,62.8,2,0.00,0.00,3.48
60000,fill256_0,3,0.00,65.4,2,0.00,0.00,3.50
60000,fill256_0,4,0.00,57.2,2,0.00,0.00,3.50
60000,fill256_0,5,0.00,65.3,2,0.00,0.00,3.50
60000,fill256_0,6,0.00,62.6,2,0.00,0.00,3.50
60000,fill256_0,7,0.00,57.9,2,0.00,0.00,3.50
60000,fill256_0,8,0.00,63.0,2,0.00,0.00,3.50
60000,fill256_0,9,0.00,63.0,2,0.00,0.00,3.50
60000,fill256_0,10,0.00,67.2,2,0.00,0.00,3.49
60000,fill256_0,11,0.00,65.1,2,0.00,0.00,3.49
60000,fill256_0,12,0.00,62.1,2,0.00,0.00,3.48
60000,fill256_0,13,0.00,64.8,2,0.00,0.00,3.50
60000,fill256_0,14,0.00,66.0,2,0.00,0.00,3.49
60000,fill256_0,15,0.00,59.1,2,0.00,0.00,3.49
60000,fill256_0,16,0.00,59.9,2,0.00,0.00,3.48
60000,fill512_0,0,0.00,62.7,2,0.00,0.00,3.49
60000,fill512_0,1,0.00,63.4,2,0.00,0.00,3.49
60000,fill512_0,2,0.00,65.2,2,0.00,0.00,3.50
60000,fill512_0,3,0.00,61.5,2,0.00,0.00,3.48
60000,fill512_0,4,0.00,59.3,2,0.00,0.00,3.49
60000,fill512_0,5,0.00,60.9,2,0.00,0.00,3.49
60000,fill512_0,6,0.00,60.9,2,0.00,0.00,3.49
60000,fill512_0,7,0.00,61.3,2,0.00,0.00,3.49
60000,fill512_0,8,0.00,67.4,2,0.00,0.00,3.48
60000,fill512_0,9,0.00,59.5,2,0.00,0.00,3.51
60000,fill512_0,10,0.00,62.5,2,0.00,0.00,3.50
60000,fill512_0,11,0.00,62.1,2,0.00,0.00,3.50
60000,fill512_0,12,0.00,60.9,2,0.00,0.00,3.50
60000,fill512_0,13,0.00,60.6,2,0.00,0.00,3.50
60000,fill512_0,14,0.00,61.2,2,0.00,0.00,3.48
60000,fill512_0,15,0.00,60.5,2,0.00,0.00,3.50
60000,fill512_0,16,0.00,64.1,2,0.00,0.00,3.50
60000,fill256_1,0,0.00,62.3,2,0.00,0.00,3.50
60000,fill256_1,1,0.00,58.0,2,0.00,0.00,3.50
60000,fill256_1,2,0.00,59.0,2,0.00,0.00,3.49
60000,fill256_1,3,0.00,62.8,2,0.00,0.00,3.49
60000,fill256_1,4,0.00,56.8,2,0.00,0.00,3.49
60000,fill256_1,5,0.00,63.5,2,0.00,0.00,3.49
60000,fill256_1,6,0.00,58.7,2,0.00,0.00,3.49
60000,fill256_1,7,0.00,59.0,2,0.00,0.00,3.48
