Size,Algo,Trial,Stampms,GB/s,Iters,l2-out-silent,l2-out-non-silent,GHz
100,fill256_0,0,0.00,36.6,1000,0.00,0.00,3.49
100,fill256_0,1,0.00,36.2,1000,0.00,0.00,3.50
100,fill256_0,2,0.00,36.6,1000,0.00,0.00,3.50
100,fill256_0,3,0.00,36.3,1000,0.00,0.00,3.50
100,fill256_0,4,0.00,36.1,1000,0.00,0.00,3.50
100,fill256_0,5,0.00,36.2,1000,0.00,0.00,3.49
100,fill256_0,6,0.00,37.1,1000,0.00,0.00,3.49
100,fill256_0,7,0.00,37.1,1000,0.00,0.00,3.49
100,fill256_0,8,0.00,36.5,1000,0.00,0.00,3.49
100,fill256_0,9,0.00,36.6,1000,0.00,0.00,3.49
100,fill256_0,10,0.00,37.0,1000,0.00,0.00,3.49
100,fill256_0,11,0.00,37.2,1000,0.00,0.00,3.49
100,fill256_0,12,0.00,36.6,1000,0.00,0.00,3.50
100,fill256_0,13,0.00,36.7,1000,0.00,0.00,3.50
100,fill256_0,14,0.00,37.2,1000,0.00,0.00,3.50
100,fill256_0,15,0.00,37.2,1000,0.00,0.00,3.50
100,fill256_0,16,0.00,36.6,1000,0.00,0.00,3.49
100,fill512_0,0,0.00,37.7,1000,0.00,0.00,3.49
100,fill512_0,1,0.00,37.6,1000,0.00,0.00,3.50
100,fill512_0,2,0.00,37.8,1000,0.00,0.00,3.50
100,fill512_0,3,0.00,37.6,1000,0.00,0.00,3.50
100,fill512_0,4,0.00,37.7,1000,0.00,0.00,3.50
100,fill512_0,5,0.00,37.5,1000,0.00,0.00,3.49
100,fill512_0,6,0.00,37.7,1000,0.00,0.00,3.49
100,fill512_0,7,0.00,37.5,1000,0.00,0.00,3.49
100,fill512_0,8,0.00,37.6,1000,0.00,0.00,3.49
100,fill512_0,9,0.00,37.5,1000,0.00,0.00,3.49
100,fill512_0,10,0.00,37.7,1000,0.00,0.00,3.49
100,fill512_0,11,0.00,37.5,1000,0.00,0.00,3.49
100,fill512_0,12,0.00,37.7,1000,0.00,0.00,3.49
100,fill512_0,13,0.00,37.6,1000,0.00,0.00,3.50
100,fill512_0,14,0.00,37.8,1000,0.00,0.00,3.50
100,fill512_0,15,0.00,37.6,1000,0.00,0.00,3.50
100,fill512_0,16,0.00,37.7,1000,0.00,0.00,3.50
100,fill256_1,0,0.00,37.0,1000,0.00,0.00,3.50
100,fill256_1,1,0.00,36.9,1000,0.00,0.00,3.49
100,fill256_1,2,0.00,36.8,1000,0.00,0.00,3.49
100,fill256_1,3,0.00,36.7,1000,0.00,0.00,3.49
100,fill256_1,4,0.00,36.9,1000,0.00,0.00,3.49
100,fill256_1,5,0.00,36.8,1000,0.00,0.00,3.49
100,fill256_1,6,0.00,36.8,1000,0.00,0.00,3.49
100,fill256_1,7,0.00,36.8,1000,0.00,0.00,3.50
100,fill256_1,8,0.00,36.7,1000,0.00,0.00,3.50
100,fill256_1,9,0.00,36.9,1000,0.00,0.00,3.50
100,fill256_1,10,0.00,36.9,1000,0.00,0.00,3.50
100,fill256_1,11,0.00,36.8,1000,0.00,0.00,3.50
100,fill256_1,12,0.00,36.8,1000,0.00,0.00,3.49
100,fill256_1,13,0.00,36.9,1000,0.00,0.00,3.49
100,fill256_1,14,0.00,36.8,1000,0.00,0.00,3.49
100,fill256_1,15,0.00,36.7,1000,0.00,0.00,3.49
100,fill256_1,16,0.00,36.7,1000,0.00,0.00,3.49
100,fill512_1,0,0.00,37.5,1000,0.00,0.00,3.49
100,fill512_1,1,0.00,37.4,1000,0.00,0.00,3.49
100,fill512_1,2,0.00,37.5,1000,0.00,0.00,3.49
100,fill512_1,3,0.00,37.3,1000,0.00,0.00,3.49
100,fill512_1,4,0.00,37.6,1000,0.00,0.00,3.50
100,fill512_1,5,0.00,37.5,1000,0.00,0.00,3.50
100,fill512_1,6,0.00,37.6,1000,0.00,0.00,3.50
100,fill512_1,7,0.00,37.5,1000,0.00,0.00,3.50
100,fill512_1,8,0.00,37.5,1000,0.00,0.00,3.50
100,fill512_1,9,0.00,37.5,1000,0.00,0.00,3.49
100,fill512_1,10,0.00,37.5,1000,0.00,0.00,3.49
100,fill512_1,11,0.00,37.4,1000,0.00,0.00,3.49
100,fill512_1,12,0.00,37.4,1000,0.00,0.00,3.49
100,fill512_1,13,0.00,37.3,1000,0.00,0.00,3.49
100,fill512_1,14,0.00,37.5,1000,0.00,0.00,3.49
100,fill512_1,15,0.00,37.4,1000,0.00,0.00,3.49
100,fill512_1,16,0.00,37.6,1000,0.00,0.00,3.50
132,fill256_0,0,0.00,47.0,752,0.00,0.00,3.49
132,fill256_0,1,0.00,47.2,752,0.00,0.00,3.49
132,fill256_0,2,0.00,47.0,752,0.00,0.00,3.49
132,fill256_0,3,0.00,47.3,752,0.00,0.00,3.50
132,fill256_0,4,0.00,47.1,752,0.00,0.00,3.50
132,fill256_0,5,0.00,47.3,752,0.00,0.00,3.50
132,fill256_0,6,0.00,47.1,752,0.00,0.00,3.50
132,fill256_0,7,0.00,47.3,752,0.00,0.00,3.50
132,fill256_0,8,0.00,47.0,752,0.00,0.00,3.50
132,fill256_0,9,0.00,47.3,752,0.00,0.00,3.49
132,fill256_0,10,0.00,47.0,752,0.00,0.00,3.49
132,fill256_0,11,0.00,47.2,752,0.00,0.00,3.49
132,fill256_0,12,0.00,47.0,752,0.00,0.00,3.49
132,fill256_0,13,0.00,47.1,752,0.00,0.00,3.48
132,fill256_0,14,0.00,46.9,752,0.00,0.00,3.49
132,fill256_0,15,0.00,47.2,752,0.00,0.00,3.49
132,fill256_0,16,0.00,47.0,752,0.00,0.00,3.49
132,fill512_0,0,0.00,49.1,752,0.00,0.00,3.49
132,fill512_0,1,0.00,48.6,752,0.00,0.00,3.49
132,fill512_0,2,0.00,49.1,752,0.00,0.00,3.49
132,fill512_0,3,0.00,48.6,752,0.00,0.00,3.49
132,fill512_0,4,0.00,49.1,752,0.00,0.00,3.49
132,fill512_0,5,0.00,48.7,752,0.00,0.00,3.50
132,fill512_0,6,0.00,49.2,752,0.00,0.00,3.50
132,fill512_0,7,0.00,48.7,752,0.00,0.00,3.50
132,fill512_0,8,0.00,49.3,752,0.00,0.00,3.50
132,fill512_0,9,0.00,48.7,752,0.00,0.00,3.50
132,fill512_0,10,0.00,49.2,752,0.00,0.00,3.50
132,fill512_0,11,0.00,48.6,752,0.00,0.00,3.49
132,fill512_0,12,0.00,49.2,752,0.00,0.00,3.50
132,fill512_0,13,0.00,48.6,752,0.00,0.00,3.49
132,fill512_0,14,0.00,49.1,752,0.00,0.00,3.49
132,fill512_0,15,0.00,48.5,752,0.00,0.00,3.49
132,fill512_0,16,0.00,49.1,752,0.00,0.00,3.49
132,fill256_1,0,0.00,47.9,752,0.00,0.00,3.49
132,fill256_1,1,0.00,47.7,752,0.00,0.00,3.49
132,fill256_1,2,0.00,47.9,752,0.00,0.00,3.49
132,fill256_1,3,0.00,47.7,752,0.00,0.00,3.49
132,fill256_1,4,0.00,47.8,752,0.00,0.00,3.49
132,fill256_1,5,0.00,47.6,752,0.00,0.00,3.49
132,fill256_1,6,0.00,47.9,752,0.00,0.00,3.49
132,fill256_1,7,0.00,47.7,752,0.00,0.00,3.49
132,fill256_1,8,0.00,47.9,752,0.00,0.00,3.49
132,fill256_1,9,0.00,47.8,752,0.00,0.00,3.50
132,fill256_1,10,0.00,48.0,752,0.00,0.00,3.50
132,fill256_1,11,0.00,47.9,752,0.00,0.00,3.50
132,fill256_1,12,0.00,48.0,752,0.00,0.00,3.50
132,fill256_1,13,0.00,47.8,752,0.00,0.00,3.50
