Size,Algo,Trial,Stampms,GB/s,Iters,GHz
100,fill256_0,0,0.00,36.8,1000,3.49
100,fill256_0,1,0.00,36.7,1000,3.49
100,fill256_0,2,0.00,36.8,1000,3.49
100,fill256_0,3,0.00,36.8,1000,3.49
100,fill256_0,4,0.00,36.9,1000,3.49
100,fill256_0,5,0.00,36.8,1000,3.50
100,fill256_0,6,0.00,36.9,1000,3.50
100,fill256_0,7,0.00,36.8,1000,3.50
100,fill256_0,8,0.00,2.4,1000,0.33
100,fill256_0,9,0.00,34.6,1000,3.29
100,fill256_0,10,0.00,3.3,1000,0.44
100,fill256_0,11,0.00,35.9,1000,3.49
100,fill256_0,12,0.00,37.1,1000,3.49
100,fill256_0,13,0.00,37.3,1000,3.49
100,fill256_0,14,0.00,37.2,1000,3.49
100,fill256_0,15,0.00,36.9,1000,3.49
100,fill256_0,16,0.00,37.3,1000,3.50
100,fill512_0,0,0.00,37.3,1000,3.49
100,fill512_0,1,0.00,35.5,1000,3.49
100,fill512_0,2,0.00,37.9,1000,3.49
100,fill512_0,3,0.00,37.9,1000,3.49
100,fill512_0,4,0.00,37.9,1000,3.49
100,fill512_0,5,0.00,37.9,1000,3.50
100,fill512_0,6,0.00,38.0,1000,3.50
100,fill512_0,7,0.00,37.8,1000,3.50
100,fill512_0,8,0.00,38.0,1000,3.50
100,fill512_0,9,0.00,37.9,1000,3.50
100,fill512_0,10,0.00,37.9,1000,3.49
100,fill512_0,11,0.00,37.9,1000,3.49
100,fill512_0,12,0.00,37.8,1000,3.49
100,fill512_0,13,0.00,37.8,1000,3.49
100,fill512_0,14,0.00,37.9,1000,3.49
100,fill512_0,15,0.00,37.9,1000,3.49
100,fill512_0,16,0.00,37.9,1000,3.49
100,fill256_1,0,0.00,36.7,1000,3.49
100,fill256_1,1,0.00,36.9,1000,3.49
100,fill256_1,2,0.00,36.8,1000,3.50
100,fill256_1,3,0.00,36.9,1000,3.50
100,fill256_1,4,0.00,36.6,1000,3.50
100,fill256_1,5,0.00,36.7,1000,3.50
100,fill256_1,6,0.00,36.6,1000,3.49
100,fill256_1,7,0.00,36.7,1000,3.49
100,fill256_1,8,0.00,36.6,1000,3.49
100,fill256_1,9,0.00,36.6,1000,3.49
100,fill256_1,10,0.00,36.6,1000,3.49
100,fill256_1,11,0.00,36.7,1000,3.49
100,fill256_1,12,0.00,36.6,1000,3.49
100,fill256_1,13,0.00,36.8,1000,3.50
100,fill256_1,14,0.00,36.7,1000,3.50
100,fill256_1,15,0.00,36.8,1000,3.50
100,fill256_1,16,0.00,36.7,1000,3.50
100,fill512_1,0,0.00,38.0,1000,3.50
100,fill512_1,1,0.00,37.9,1000,3.49
100,fill512_1,2,0.00,37.9,1000,3.49
100,fill512_1,3,0.00,37.9,1000,3.49
100,fill512_1,4,0.00,37.8,1000,3.49
100,fill512_1,5,0.00,37.8,1000,3.49
100,fill512_1,6,0.00,37.8,1000,3.49
100,fill512_1,7,0.00,37.9,1000,3.49
100,fill512_1,8,0.00,37.9,1000,3.49
100,fill512_1,9,0.00,38.0,1000,3.50
100,fill512_1,10,0.00,38.0,1000,3.50
100,fill512_1,11,0.00,38.0,1000,3.50
100,fill512_1,12,0.00,37.9,1000,3.50
100,fill512_1,13,0.00,37.9,1000,3.49
100,fill512_1,14,0.00,37.9,1000,3.49
100,fill512_1,15,0.00,37.9,1000,3.49
100,fill512_1,16,0.00,37.8,1000,3.49
132,fill256_0,0,0.00,44.0,752,3.49
132,fill256_0,1,0.00,44.2,752,3.49
132,fill256_0,2,0.00,44.0,752,3.49
132,fill256_0,3,0.00,44.2,752,3.49
132,fill256_0,4,0.00,44.0,752,3.49
132,fill256_0,5,0.00,44.2,752,3.49
132,fill256_0,6,0.00,44.0,752,3.49
132,fill256_0,7,0.00,44.2,752,3.49
132,fill256_0,8,0.00,44.1,752,3.50
132,fill256_0,9,0.00,44.2,752,3.49
