Size,Algo,Trial,Stampms,GB/s,Iters,l2-out-silent,l2-out-non-silent,GHz
60000,fill0,0,0.00,62.6,2,0.00,0.00,3.50
60000,fill0,1,0.00,64.1,2,0.00,0.00,3.48
60000,fill0,2,0.00,57.7,2,0.00,0.00,3.50
60000,fill0,3,0.00,68.2,2,0.00,0.00,3.44
60000,fill0,4,0.00,55.7,2,0.00,0.00,3.52
60000,fill0,5,0.00,58.6,2,0.00,0.00,3.49
60000,fill0,6,0.00,61.6,2,0.00,0.00,3.49
60000,fill0,7,0.00,62.5,2,0.00,0.00,3.50
60000,fill0,8,0.00,69.2,2,0.00,0.00,3.50
60000,fill0,9,0.00,63.5,2,0.00,0.00,3.50
60000,fill0,10,0.00,69.6,2,0.00,0.00,3.50
60000,fill0,11,0.00,68.1,2,0.00,0.00,3.46
60000,fill0,12,0.00,69.0,2,0.00,0.00,3.54
60000,fill0,13,0.00,63.7,2,0.00,0.00,3.48
60000,fill0,14,0.00,60.3,2,0.00,0.00,3.51
60000,fill0,15,0.00,61.6,2,0.00,0.00,3.49
60000,fill0,16,0.00,64.8,2,0.00,0.00,3.49
60000,fill1,0,0.00,61.7,2,0.00,0.00,3.50
60000,fill1,1,0.00,62.0,2,0.00,0.00,3.50
60000,fill1,2,0.00,64.4,2,0.00,0.00,3.49
60000,fill1,3,0.00,60.0,2,0.00,0.00,3.49
60000,fill1,4,0.00,54.8,2,0.00,0.00,3.49
60000,fill1,5,0.00,60.2,2,0.00,0.00,3.49
60000,fill1,6,0.00,59.2,2,0.00,0.00,3.48
60000,fill1,7,0.00,58.9,2,0.00,0.00,3.48
60000,fill1,8,0.00,57.7,2,0.00,0.00,3.49
60000,fill1,9,0.00,59.4,2,0.00,0.00,3.49
60000,fill1,10,0.00,56.2,2,0.00,0.00,3.50
60000,fill1,11,0.00,58.1,2,0.00,0.00,3.49
60000,fill1,12,0.00,54.1,2,0.00,0.00,3.50
60000,fill1,13,0.00,58.7,2,0.00,0.00,3.49
60000,fill1,14,0.00,56.7,2,0.00,0.00,3.51
60000,fill1,15,0.00,53.7,2,0.00,0.00,3.49
60000,fill1,16,0.00,57.5,2,0.00,0.00,3.50
60000,alt01,0,0.00,64.7,2,0.00,0.00,3.50
60000,alt01,1,0.00,59.9,2,0.00,0.00,3.50
60000,alt01,2,0.00,63.2,2,0.00,0.00,3.49
60000,alt01,3,0.00,56.2,2,0.00,0.00,3.51
60000,alt01,4,0.00,59.9,2,0.00,0.00,3.49
60000,alt01,5,0.00,64.2,2,0.00,0.00,3.49
60000,alt01,6,0.00,64.0,2,0.00,0.00,3.49
60000,alt01,7,0.00,61.2,2,0.00,0.00,3.49
60000,alt01,8,0.00,67.8,2,0.00,0.00,3.48
60000,alt01,9,0.00,61.7,2,0.00,0.00,3.49
60000,alt01,10,0.00,61.1,2,0.00,0.00,3.48
60000,alt01,11,0.00,58.2,2,0.00,0.00,3.50
60000,alt01,12,0.00,61.2,2,0.00,0.00,3.49
60000,alt01,13,0.00,58.9,2,0.00,0.00,3.49
60000,alt01,14,0.00,64.6,2,0.00,0.00,3.50
60000,alt01,15,0.00,54.0,2,0.00,0.00,3.50
60000,alt01,16,0.00,63.5,2,0.00,0.00,3.50
66000,fill0,0,0.00,59.5,2,0.00,0.00,3.50
66000,fill0,1,0.00,56.7,2,0.00,0.00,3.50
66000,fill0,2,0.00,61.3,2,0.00,0.00,3.50
66000,fill0,3,0.00,54.9,2,0.00,0.00,3.50
66000,fill0,4,0.00,56.5,2,0.00,0.00,3.50
66000,fill0,5,0.00,60.6,2,0.00,0.00,3.49
66000,fill0,6,0.00,64.1,2,0.00,0.00,3.50
66000,fill0,7,0.00,57.4,2,0.00,0.00,3.50
66000,fill0,8,0.00,58.6,2,0.00,0.00,3.49
66000,fill0,9,0.00,56.1,2,0.00,0.00,3.49
66000,fill0,10,0.00,66.1,2,0.00,0.00,3.49
66000,fill0,11,0.00,60.4,2,0.00,0.00,3.48
66000,fill0,12,0.00,61.2,2,0.00,0.00,3.49
66000,fill0,13,0.00,68.3,2,0.00,0.00,3.49
66000,fill0,14,0.00,56.6,2,0.00,0.00,3.49
66000,fill0,15,0.00,59.2,2,0.00,0.00,3.50
66000,fill0,16,0.00,59.4,2,0.00,0.00,3.50
66000,fill1,0,0.00,60.6,2,0.00,0.00,3.49
66000,fill1,1,0.00,61.5,2,0.00,0.00,3.50
66000,fill1,2,0.00,61.9,2,0.00,0.00,3.49
66000,fill1,3,0.00,55.8,2,0.00,0.00,3.50
66000,fill1,4,0.00,60.2,2,0.00,0.00,3.49
66000,fill1,5,0.00,63.1,2,0.00,0.00,3.50
66000,fill1,6,0.00,55.9,2,0.00,0.00,3.50
66000,fill1,7,0.00,60.1,2,0.00,0.00,3.49
66000,fill1,8,0.00,63.0,2,0.00,0.00,3.49
66000,fill1,9,0.00,65.2,2,0.00,0.00,3.49
66000,fill1,10,0.00,65.4,2,0.00,0.00,3.49
66000,fill1,11,0.00,60.7,2,0.00,0.00,3.49
66000,fill1,12,0.00,59.8,2,0.00,0.00,3.49
66000,fill1,13,0.00,59.2,2,0.00,0.00,3.49
66000,fill1,14,0.00,62.9,2,0.00,0.00,3.49
66000,fill1,15,0.00,63.1,2,0.00,0.00,3.49
66000,fill1,16,0.00,60.6,2,0.00,0.00,3.51
66000,alt01,0,0.00,63.6,2,0.00,0.00,3.49
66000,alt01,1,0.00,61.3,2,0.00,0.00,3.49
66000,alt01,2,0.00,62.0,2,0.00,0.00,3.50
66000,alt01,3,0.00,60.2,2,0.00,0.00,3.50
66000,alt01,4,0.00,56.0,2,0.00,0.00,3.49
66000,alt01,5,0.00,66.2,2,0.00,0.00,3.50
66000,alt01,6,0.00,58.9,2,0.00,0.00,3.50
66000,alt01,7,0.00,60.9,2,0.00,0.00,3.49
66000,alt01,8,0.00,61.5,2,0.00,0.00,3.49
66000,alt01,9,0.00,59.2,2,0.00,0.00,3.50
66000,alt01,10,0.00,63.0,2,0.00,0.00,3.49
66000,alt01,11,0.00,57.1,2,0.00,0.00,3.49
66000,alt01,12,0.00,56.3,2,0.00,0.00,3.49
66000,alt01,13,0.00,63.0,2,0.00,0.00,3.49
66000,alt01,14,0.00,65.6,2,0.00,0.00,3.48
66000,alt01,15,0.00,66.0,2,0.00,0.00,3.49
66000,alt01,16,0.00,66.8,2,0.00,0.00,3.50
72600,fill0,0,0.00,54.7,2,0.00,0.00,3.49
72600,fill0,1,0.00,66.0,2,0.00,0.00,3.50
72600,fill0,2,0.00,63.2,2,0.00,0.00,3.50
72600,fill0,3,0.00,66.8,2,0.00,0.00,3.50
72600,fill0,4,0.00,62.7,2,0.00,0.00,3.50
72600,fill0,5,0.00,64.2,2,0.00,0.00,3.50
72600,fill0,6,0.00,60.5,2,0.00,0.00,3.49
72600,fill0,7,0.00,64.5,2,0.00,0.00,3.50
72600,fill0,8,0.00,58.6,2,0.00,0.00,3.48
72600,fill0,9,0.00,57.8,2,0.00,0.00,3.49
72600,fill0,10,0.00,65.2,2,0.00,0.00,3.49
72600,fill0,11,0.00,56.9,2,0.00,0.00,3.48
72600,fill0,12,0.00,61.7,2,0.00,0.00,3.50
72600,fill0,13,0.00,63.2,2,0.00,0.00,3.50
72600,fill0,14,0.00,58.2,2,0.00,0.00,3.49
72600,fill0,15,0.00,64.2,2,0.00,0.00,3.50
72600,fill0,16,0.00,61.0,2,0.00,0.00,3.50
72600,fill1,0,0.00,60.0,2,0.00,0.00,3.49
72600,fill1,1,0.00,62.6,2,0.00,0.00,3.49
72600,fill1,2,0.00,57.6,2,0.00,0.00,3.50
72600,fill1,3,0.00,63.4,2,0.00,0.00,3.50
72600,fill1,4,0.00,64.1,2,0.00,0.00,3.49
72600,fill1,5,0.00,67.4,2,0.00,0.00,3.50
72600,fill1,6,0.00,55.9,2,0.00,0.00,3.48
72600,fill1,7,0.00,67.5,2,0.00,0.00,3.50
72600,fill1,8,0.00,63.0,2,0.00,0.00,3.48
72600,fill1,9,0.00,66.9,2,0.00,0.00,3.49
72600,fill1,10,0.00,61.9,2,0.00,0.00,3.49
72600,fill1,11,0.00,62.5,2,0.00,0.00,3.49
72600,fill1,12,0.00,63.1,2,0.00,0.00,3.49
72600,fill1,13,0.00,61.5,2,0.00,0.00,3.50
72600,fill1,14,0.00,62.2,2,0.00,0.00,3.49
72600,fill1,15,0.00,65.8,2,0.00,0.00,3.50
72600,fill1,16,0.00,64.0,2,0.00,0.00,3.50
