Size,Algo,Trial,Stampms,GB/s,Iters,uncR,uncW
600000,fill0,0,0.01,63.0,2,0.00,0.00
600000,fill0,1,0.01,62.8,2,0.00,0.00
600000,fill0,2,0.01,60.8,2,0.00,0.00
600000,fill0,3,0.01,62.8,2,0.00,0.00
600000,fill0,4,0.01,61.9,2,0.00,0.00
600000,fill0,5,0.01,63.9,2,0.00,0.00
600000,fill0,6,0.01,61.8,2,0.00,0.00
600000,fill0,7,0.01,61.7,2,0.00,0.00
600000,fill0,8,0.01,62.2,2,0.00,0.00
600000,fill0,9,0.01,63.1,2,0.00,0.00
600000,fill0,10,0.01,62.4,2,0.00,0.00
600000,fill0,11,0.01,62.8,2,0.00,0.00
600000,fill0,12,0.01,62.3,2,0.00,0.00
600000,fill0,13,0.01,62.1,2,0.00,0.00
600000,fill0,14,0.01,62.0,2,0.00,0.00
600000,fill0,15,0.01,62.4,2,0.00,0.00
600000,fill0,16,0.01,61.2,2,0.00,0.00
600000,fill1,0,0.01,47.4,2,0.00,0.00
600000,fill1,1,0.01,47.5,2,0.00,0.00
600000,fill1,2,0.01,47.9,2,0.00,0.00
600000,fill1,3,0.01,47.7,2,0.00,0.00
600000,fill1,4,0.01,48.4,2,0.00,0.00
600000,fill1,5,0.01,47.3,2,0.00,0.00
600000,fill1,6,0.01,49.0,2,0.00,0.00
600000,fill1,7,0.01,48.7,2,0.00,0.00
600000,fill1,8,0.01,47.5,2,0.00,0.00
600000,fill1,9,0.01,48.8,2,0.00,0.00
600000,fill1,10,0.01,48.5,2,0.00,0.00
600000,fill1,11,0.01,48.7,2,0.00,0.00
600000,fill1,12,0.01,43.3,2,0.00,0.01
600000,fill1,13,0.03,22.1,2,0.00,0.00
600000,fill1,14,0.01,45.6,2,0.00,0.00
600000,fill1,15,0.01,45.8,2,0.00,0.01
600000,fill1,16,0.01,45.1,2,0.01,0.03
600000,alt01,0,0.01,52.4,2,0.01,0.00
600000,alt01,1,0.01,52.6,2,0.01,0.00
600000,alt01,2,0.01,52.3,2,0.02,0.01
600000,alt01,3,0.01,52.7,2,0.02,0.01
600000,alt01,4,0.01,52.4,2,0.02,0.01
600000,alt01,5,0.01,52.3,2,0.01,0.00
600000,alt01,6,0.01,52.6,2,0.01,0.00
600000,alt01,7,0.01,52.3,2,0.01,0.00
600000,alt01,8,0.01,52.0,2,0.01,0.00
600000,alt01,9,0.01,52.5,2,0.01,0.00
600000,alt01,10,0.01,52.1,2,0.01,0.00
600000,alt01,11,0.01,52.3,2,0.01,0.00
600000,alt01,12,0.01,52.5,2,0.02,0.00
600000,alt01,13,0.01,52.4,2,0.01,0.01
600000,alt01,14,0.01,52.8,2,0.01,0.00
600000,alt01,15,0.01,52.7,2,0.01,0.00
600000,alt01,16,0.01,52.4,2,0.01,0.00
660000,fill0,0,0.01,59.7,2,0.00,0.00
660000,fill0,1,0.01,60.6,2,0.00,0.00
660000,fill0,2,0.01,61.5,2,0.00,0.00
660000,fill0,3,0.01,60.6,2,0.00,0.00
660000,fill0,4,0.01,61.4,2,0.00,0.00
660000,fill0,5,0.01,58.6,2,0.00,0.00
660000,fill0,6,0.01,60.7,2,0.00,0.00
660000,fill0,7,0.01,60.9,2,0.00,0.00
660000,fill0,8,0.01,60.8,2,0.00,0.00
660000,fill0,9,0.01,60.6,2,0.00,0.00
660000,fill0,10,0.01,60.9,2,0.00,0.00
660000,fill0,11,0.01,59.2,2,0.00,0.00
660000,fill0,12,0.01,61.2,2,0.00,0.00
660000,fill0,13,0.01,59.3,2,0.00,0.00
660000,fill0,14,0.01,59.7,2,0.00,0.00
660000,fill0,15,0.01,60.8,2,0.00,0.00
660000,fill0,16,0.01,60.7,2,0.00,0.00
660000,fill1,0,0.01,47.5,2,0.00,0.00
660000,fill1,1,0.01,47.3,2,0.00,0.00
660000,fill1,2,0.01,46.5,2,0.00,0.00
660000,fill1,3,0.01,46.3,2,0.00,0.00
660000,fill1,4,0.01,47.1,2,0.00,0.00
660000,fill1,5,0.01,47.6,2,0.00,0.00
660000,fill1,6,0.01,46.4,2,0.00,0.00
660000,fill1,7,0.01,46.5,2,0.00,0.00
660000,fill1,8,0.01,47.0,2,0.00,0.00
660000,fill1,9,0.02,41.7,2,0.00,0.00
660000,fill1,10,0.01,46.9,2,0.00,0.00
660000,fill1,11,0.01,47.0,2,0.00,0.00
660000,fill1,12,0.01,47.2,2,0.00,0.00
660000,fill1,13,0.01,47.4,2,0.00,0.00
660000,fill1,14,0.01,46.7,2,0.00,0.00
660000,fill1,15,0.01,46.7,2,0.00,0.00
660000,fill1,16,0.01,47.1,2,0.00,0.00
