Size,Algo,Trial,Stampms,GB/s,Iters,l2-out-silent,l2-out-non-silent,GHz
60000,fill256_0,0,0.00,65.1,2,0.00,0.00,3.49
60000,fill256_0,1,0.00,63.1,2,0.00,0.00,3.49
60000,fill256_0,2,0.00,64.0,2,0.00,0.00,3.48
60000,fill256_0,3,0.00,66.2,2,0.00,0.00,3.49
60000,fill256_0,4,0.00,60.2,2,0.00,0.00,3.50
60000,fill256_0,5,0.00,68.2,2,0.00,0.00,3.46
60000,fill256_0,6,0.00,60.6,2,0.00,0.00,3.53
60000,fill256_0,7,0.00,67.4,2,0.00,0.00,3.49
60000,fill256_0,8,0.00,59.2,2,0.00,0.00,3.49
60000,fill256_0,9,0.00,67.7,2,0.00,0.00,3.50
60000,fill256_0,10,0.00,61.2,2,0.00,0.00,3.51
60000,fill256_0,11,0.00,62.5,2,0.00,0.00,3.49
60000,fill256_0,12,0.00,63.0,2,0.00,0.00,3.49
60000,fill256_0,13,0.00,65.4,2,0.00,0.00,3.45
60000,fill256_0,14,0.00,60.2,2,0.00,0.00,3.52
60000,fill256_0,15,0.00,61.3,2,0.00,0.00,3.50
60000,fill256_0,16,0.00,68.6,2,0.00,0.00,3.48
60000,fill512_0,0,0.00,64.2,2,0.00,0.00,3.51
60000,fill512_0,1,0.00,61.8,2,0.00,0.00,3.49
60000,fill512_0,2,0.00,62.1,2,0.00,0.00,3.49
60000,fill512_0,3,0.00,59.9,2,0.00,0.00,3.49
60000,fill512_0,4,0.00,60.3,2,0.00,0.00,3.49
60000,fill512_0,5,0.00,61.6,2,0.00,0.00,3.48
60000,fill512_0,6,0.00,60.2,2,0.00,0.00,3.49
60000,fill512_0,7,0.00,61.6,2,0.00,0.00,3.49
60000,fill512_0,8,0.00,62.1,2,0.00,0.00,3.49
60000,fill512_0,9,0.00,61.5,2,0.00,0.00,3.49
60000,fill512_0,10,0.00,62.5,2,0.00,0.00,3.50
60000,fill512_0,11,0.00,65.1,2,0.00,0.00,3.50
60000,fill512_0,12,0.00,62.8,2,0.00,0.00,3.49
60000,fill512_0,13,0.00,63.2,2,0.00,0.00,3.51
60000,fill512_0,14,0.00,60.2,2,0.00,0.00,3.50
60000,fill512_0,15,0.00,61.8,2,0.00,0.00,3.50
60000,fill512_0,16,0.00,61.2,2,0.00,0.00,3.50
60000,fill256_1,0,0.00,56.4,2,0.00,0.00,3.50
60000,fill256_1,1,0.00,62.5,2,0.00,0.00,3.50
60000,fill256_1,2,0.00,61.4,2,0.00,0.00,3.50
60000,fill256_1,3,0.00,63.0,2,0.00,0.00,3.50
60000,fill256_1,4,0.00,61.6,2,0.00,0.00,3.45
60000,fill256_1,5,0.00,63.8,2,0.00,0.00,3.53
60000,fill256_1,6,0.00,62.0,2,0.00,0.00,3.50
60000,fill256_1,7,0.00,59.1,2,0.00,0.00,3.48
60000,fill256_1,8,0.00,64.6,2,0.00,0.00,3.49
60000,fill256_1,9,0.00,60.2,2,0.00,0.00,3.49
60000,fill256_1,10,0.00,58.0,2,0.00,0.00,3.49
60000,fill256_1,11,0.00,55.1,2,0.00,0.00,3.49
60000,fill256_1,12,0.00,63.3,2,0.00,0.00,3.48
60000,fill256_1,13,0.00,61.9,2,0.00,0.00,3.50
60000,fill256_1,14,0.00,65.6,2,0.00,0.00,3.50
60000,fill256_1,15,0.00,58.1,2,0.00,0.00,3.49
60000,fill256_1,16,0.00,59.9,2,0.00,0.00,3.50
60000,fill512_1,0,0.00,61.3,2,0.00,0.00,3.49
60000,fill512_1,1,0.00,61.0,2,0.00,0.00,3.45
60000,fill512_1,2,0.00,61.9,2,0.00,0.00,3.54
60000,fill512_1,3,0.00,61.2,2,0.00,0.00,3.48
60000,fill512_1,4,0.00,67.9,2,0.00,0.00,3.50
60000,fill512_1,5,0.00,66.4,2,0.00,0.00,3.51
60000,fill512_1,6,0.00,61.8,2,0.00,0.00,3.50
60000,fill512_1,7,0.00,60.9,2,0.00,0.00,3.50
60000,fill512_1,8,0.00,62.2,2,0.00,0.00,3.50
60000,fill512_1,9,0.00,61.2,2,0.00,0.00,3.49
60000,fill512_1,10,0.00,61.3,2,0.00,0.00,3.50
60000,fill512_1,11,0.00,62.0,2,0.00,0.00,3.48
60000,fill512_1,12,0.00,61.9,2,0.00,0.00,3.49
60000,fill512_1,13,0.00,61.0,2,0.00,0.00,3.49
60000,fill512_1,14,0.00,61.0,2,0.00,0.00,3.48
60000,fill512_1,15,0.00,60.6,2,0.00,0.00,3.49
60000,fill512_1,16,0.00,61.0,2,0.00,0.00,3.50
66000,fill256_0,0,0.00,60.2,2,0.00,0.00,3.49
66000,fill256_0,1,0.00,65.0,2,0.00,0.00,3.47
66000,fill256_0,2,0.00,65.0,2,0.00,0.00,3.50
66000,fill256_0,3,0.00,57.5,2,0.00,0.00,3.49
66000,fill256_0,4,0.00,62.1,2,0.00,0.00,3.49
66000,fill256_0,5,0.00,62.2,2,0.00,0.00,3.49
66000,fill256_0,6,0.00,61.1,2,0.00,0.00,3.50
66000,fill256_0,7,0.00,63.3,2,0.00,0.00,3.51
66000,fill256_0,8,0.00,63.2,2,0.00,0.00,3.50
66000,fill256_0,9,0.00,64.4,2,0.00,0.00,3.51
66000,fill256_0,10,0.00,63.8,2,0.00,0.00,3.49
66000,fill256_0,11,0.00,64.9,2,0.00,0.00,3.50
66000,fill256_0,12,0.00,60.8,2,0.00,0.00,3.49
66000,fill256_0,13,0.00,62.1,2,0.00,0.00,3.48
66000,fill256_0,14,0.00,60.6,2,0.00,0.00,3.49
66000,fill256_0,15,0.00,56.9,2,0.00,0.00,3.49
66000,fill256_0,16,0.00,63.3,2,0.00,0.00,3.49
66000,fill512_0,0,0.00,67.7,2,0.00,0.00,3.49
66000,fill512_0,1,0.00,65.0,2,0.00,0.00,3.49
66000,fill512_0,2,0.00,69.4,2,0.00,0.00,3.49
66000,fill512_0,3,0.00,66.5,2,0.00,0.00,3.46
66000,fill512_0,4,0.00,67.4,2,0.00,0.00,3.50
66000,fill512_0,5,0.00,65.3,2,0.00,0.00,3.50
66000,fill512_0,6,0.00,64.5,2,0.00,0.00,3.49
66000,fill512_0,7,0.00,66.0,2,0.00,0.00,3.49
66000,fill512_0,8,0.00,65.2,2,0.00,0.00,3.50
66000,fill512_0,9,0.00,65.2,2,0.00,0.00,3.49
66000,fill512_0,10,0.00,65.9,2,0.00,0.00,3.51
66000,fill512_0,11,0.00,65.4,2,0.00,0.00,3.49
66000,fill512_0,12,0.00,67.3,2,0.00,0.00,3.45
66000,fill512_0,13,0.00,60.2,2,0.00,0.00,3.54
66000,fill512_0,14,0.00,60.8,2,0.00,0.00,3.49
66000,fill512_0,15,0.00,61.1,2,0.00,0.00,3.49
66000,fill512_0,16,0.00,61.3,2,0.00,0.00,3.49
66000,fill256_1,0,0.00,66.9,2,0.00,0.00,3.50
66000,fill256_1,1,0.00,63.2,2,0.00,0.00,3.46
66000,fill256_1,2,0.00,65.5,2,0.00,0.00,3.53
66000,fill256_1,3,0.00,62.4,2,0.00,0.00,3.49
66000,fill256_1,4,0.00,64.4,2,0.00,0.00,3.49
66000,fill256_1,5,0.00,69.1,2,0.00,0.00,3.49
66000,fill256_1,6,0.00,64.1,2,0.00,0.00,3.49
66000,fill256_1,7,0.00,62.8,2,0.00,0.00,3.50
66000,fill256_1,8,0.00,57.9,2,0.00,0.00,3.49
66000,fill256_1,9,0.00,62.4,2,0.00,0.00,3.49
66000,fill256_1,10,0.00,59.9,2,0.00,0.00,3.49
66000,fill256_1,11,0.00,62.2,2,0.00,0.00,3.50
66000,fill256_1,12,0.00,56.8,2,0.00,0.00,3.51
66000,fill256_1,13,0.00,63.3,2,0.00,0.00,3.49
66000,fill256_1,14,0.00,56.8,2,0.00,0.00,3.50
66000,fill256_1,15,0.00,64.0,2,0.00,0.00,3.50
66000,fill256_1,16,0.00,56.8,2,0.00,0.00,3.49
66000,fill512_1,0,0.00,61.2,2,0.00,0.00,3.50
66000,fill512_1,1,0.00,61.0,2,0.00,0.00,3.51
66000,fill512_1,2,0.00,67.3,2,0.00,0.00,3.50
66000,fill512_1,3,0.00,61.2,2,0.00,0.00,3.48
66000,fill512_1,4,0.00,60.9,2,0.00,0.00,3.50
66000,fill512_1,5,0.00,64.1,2,0.00,0.00,3.48
66000,fill512_1,6,0.00,62.5,2,0.00,0.00,3.49
66000,fill512_1,7,0.00,61.3,2,0.00,0.00,3.49
66000,fill512_1,8,0.00,60.7,2,0.00,0.00,3.48
66000,fill512_1,9,0.00,59.6,2,0.00,0.00,3.48
66000,fill512_1,10,0.00,62.8,2,0.00,0.00,3.50
66000,fill512_1,11,0.00,62.5,2,0.00,0.00,3.50
66000,fill512_1,12,0.00,61.4,2,0.00,0.00,3.49
66000,fill512_1,13,0.00,60.9,2,0.00,0.00,3.51
66000,fill512_1,14,0.00,69.3,2,0.00,0.00,3.47
66000,fill512_1,15,0.00,60.8,2,0.00,0.00,3.52
66000,fill512_1,16,0.00,60.6,2,0.00,0.00,3.48
72600,fill256_0,0,0.00,63.7,2,0.00,0.00,3.51
72600,fill256_0,1,0.00,68.3,2,0.00,0.00,3.49
72600,fill256_0,2,0.00,58.5,2,0.00,0.00,3.50
72600,fill256_0,3,0.00,61.1,2,0.00,0.00,3.49
72600,fill256_0,4,0.00,62.5,2,0.00,0.00,3.49
72600,fill256_0,5,0.00,63.3,2,0.00,0.00,3.49
72600,fill256_0,6,0.00,66.8,2,0.00,0.00,3.48
72600,fill256_0,7,0.00,62.6,2,0.00,0.00,3.49
72600,fill256_0,8,0.00,63.7,2,0.00,0.00,3.49
72600,fill256_0,9,0.00,61.4,2,0.00,0.00,3.49
72600,fill256_0,10,0.00,60.3,2,0.00,0.00,3.50
72600,fill256_0,11,0.00,63.6,2,0.00,0.00,3.49
72600,fill256_0,12,0.00,56.1,2,0.00,0.00,3.50
