Size,Algo,Trial,Stampms,GB/s,Iters,GHz
100,fill0,0,0.00,26.1,1000,3.49
100,fill0,1,0.00,26.2,1000,3.50
100,fill0,2,0.00,26.1,1000,3.50
100,fill0,3,0.00,26.2,1000,3.50
100,fill0,4,0.00,26.1,1000,3.49
100,fill0,5,0.00,26.1,1000,3.49
100,fill0,6,0.00,26.0,1000,3.49
100,fill0,7,0.00,26.1,1000,3.49
100,fill0,8,0.00,26.1,1000,3.49
100,fill0,9,0.00,26.2,1000,3.50
100,fill0,10,0.00,26.1,1000,3.50
100,fill0,11,0.00,26.2,1000,3.50
100,fill0,12,0.00,26.1,1000,3.49
100,fill0,13,0.00,26.1,1000,3.49
100,fill0,14,0.00,26.0,1000,3.49
100,fill0,15,0.00,26.1,1000,3.49
100,fill0,16,0.00,26.1,1000,3.49
100,fill1,0,0.00,28.2,1000,3.49
100,fill1,1,0.00,28.2,1000,3.49
100,fill1,2,0.00,28.2,1000,3.49
100,fill1,3,0.00,28.2,1000,3.49
100,fill1,4,0.00,28.3,1000,3.49
100,fill1,5,0.00,28.2,1000,3.50
100,fill1,6,0.00,28.3,1000,3.50
100,fill1,7,0.00,28.2,1000,3.50
100,fill1,8,0.00,28.3,1000,3.49
100,fill1,9,0.00,28.2,1000,3.49
100,fill1,10,0.00,28.2,1000,3.49
100,fill1,11,0.00,28.2,1000,3.49
100,fill1,12,0.00,28.2,1000,3.49
100,fill1,13,0.00,28.2,1000,3.49
100,fill1,14,0.00,28.3,1000,3.50
100,fill1,15,0.00,28.2,1000,3.50
100,fill1,16,0.00,28.3,1000,3.50
132,fill0,0,0.00,33.6,752,3.49
132,fill0,1,0.00,33.6,752,3.49
132,fill0,2,0.00,33.7,752,3.49
132,fill0,3,0.00,33.7,752,3.50
132,fill0,4,0.00,33.8,752,3.50
132,fill0,5,0.00,33.7,752,3.50
132,fill0,6,0.00,33.7,752,3.49
132,fill0,7,0.00,33.6,752,3.49
132,fill0,8,0.00,33.6,752,3.49
132,fill0,9,0.00,33.6,752,3.49
132,fill0,10,0.00,33.6,752,3.49
132,fill0,11,0.00,33.6,752,3.49
132,fill0,12,0.00,33.7,752,3.49
132,fill0,13,0.00,33.6,752,3.49
132,fill0,14,0.00,33.7,752,3.50
132,fill0,15,0.00,33.7,752,3.50
132,fill0,16,0.00,33.7,752,3.50
132,fill1,0,0.00,37.0,752,3.49
132,fill1,1,0.00,36.9,752,3.49
132,fill1,2,0.00,37.1,752,3.49
132,fill1,3,0.00,37.0,752,3.50
132,fill1,4,0.00,37.1,752,3.50
