Size,Algo,Trial,Stampms,GB/s,Iters,GHz
100,fill0,0,0.00,24.7,1000,3.30
100,fill0,1,0.00,24.7,1000,3.30
100,fill0,2,0.00,24.6,1000,3.29
100,fill0,3,0.00,24.6,1000,3.29
100,fill0,4,0.00,24.6,1000,3.29
100,fill0,5,0.00,24.6,1000,3.29
100,fill0,6,0.00,24.6,1000,3.30
100,fill0,7,0.00,24.7,1000,3.30
100,fill0,8,0.00,24.6,1000,3.30
100,fill0,9,0.00,24.7,1000,3.30
100,fill0,10,0.00,24.6,1000,3.29
100,fill0,11,0.00,24.6,1000,3.29
100,fill0,12,0.00,24.6,1000,3.29
100,fill0,13,0.00,24.7,1000,3.29
100,fill0,14,0.00,24.6,1000,3.29
100,fill0,15,0.00,24.7,1000,3.30
100,fill0,16,0.00,24.6,1000,3.30
100,fill1,0,0.00,26.6,1000,3.29
100,fill1,1,0.00,26.5,1000,3.29
100,fill1,2,0.00,26.6,1000,3.29
100,fill1,3,0.00,26.6,1000,3.29
100,fill1,4,0.00,26.7,1000,3.30
100,fill1,5,0.00,11.6,1000,1.92
100,fill1,6,0.00,25.3,1000,3.29
100,fill1,7,0.00,25.3,1000,3.29
100,fill1,8,0.00,25.3,1000,3.29
100,fill1,9,0.00,25.3,1000,3.29
100,fill1,10,0.00,25.4,1000,3.30
100,fill1,11,0.00,25.4,1000,3.30
100,fill1,12,0.00,25.4,1000,3.30
100,fill1,13,0.00,25.3,1000,3.29
100,fill1,14,0.00,25.3,1000,3.29
100,fill1,15,0.00,25.3,1000,3.29
100,fill1,16,0.00,25.3,1000,3.29
132,fill0,0,0.00,33.3,752,3.29
132,fill0,1,0.00,33.2,752,3.29
132,fill0,2,0.00,33.3,752,3.30
132,fill0,3,0.00,33.3,752,3.30
132,fill0,4,0.00,33.4,752,3.30
132,fill0,5,0.00,33.2,752,3.29
132,fill0,6,0.00,33.3,752,3.29
132,fill0,7,0.00,33.2,752,3.29
132,fill0,8,0.00,33.2,752,3.29
132,fill0,9,0.00,33.1,752,3.29
132,fill0,10,0.00,33.2,752,3.29
132,fill0,11,0.00,33.2,752,3.29
132,fill0,12,0.00,33.3,752,3.30
132,fill0,13,0.00,33.2,752,3.30
132,fill0,14,0.00,33.3,752,3.30
132,fill0,15,0.00,33.2,752,3.30
132,fill0,16,0.00,33.3,752,3.30
132,fill1,0,0.00,30.8,752,3.29
132,fill1,1,0.00,30.9,752,3.29
132,fill1,2,0.00,30.8,752,3.29
132,fill1,3,0.00,30.9,752,3.29
132,fill1,4,0.00,30.9,752,3.29
132,fill1,5,0.00,31.0,752,3.30
132,fill1,6,0.00,30.9,752,3.30
132,fill1,7,0.00,31.0,752,3.30
132,fill1,8,0.00,30.9,752,3.30
132,fill1,9,0.00,30.9,752,3.29
132,fill1,10,0.00,30.8,752,3.29
132,fill1,11,0.00,30.9,752,3.29
132,fill1,12,0.00,30.8,752,3.29
132,fill1,13,0.00,30.9,752,3.29
132,fill1,14,0.00,30.8,752,3.29
132,fill1,15,0.00,30.9,752,3.30
132,fill1,16,0.00,30.9,752,3.30
176,fill0,0,0.00,37.5,565,3.30
176,fill0,1,0.00,37.6,565,3.30
176,fill0,2,0.00,37.5,565,3.30
176,fill0,3,0.00,37.5,565,3.29
176,fill0,4,0.00,37.5,565,3.29
176,fill0,5,0.00,37.6,565,3.29
176,fill0,6,0.00,37.4,565,3.29
176,fill0,7,0.00,37.5,565,3.29
176,fill0,8,0.00,37.4,565,3.29
176,fill0,9,0.00,37.6,565,3.29
176,fill0,10,0.00,37.5,565,3.29
176,fill0,11,0.00,37.7,565,3.30
176,fill0,12,0.00,37.6,565,3.30
176,fill0,13,0.00,37.7,565,3.30
176,fill0,14,0.00,37.5,565,3.30
176,fill0,15,0.00,37.6,565,3.29
176,fill0,16,0.00,37.4,565,3.29
176,fill1,0,0.00,37.6,565,3.29
176,fill1,1,0.00,37.4,565,3.29
176,fill1,2,0.00,37.5,565,3.29
176,fill1,3,0.00,37.4,565,3.29
176,fill1,4,0.00,37.6,565,3.29
176,fill1,5,0.00,37.4,565,3.29
176,fill1,6,0.00,37.6,565,3.30
176,fill1,7,0.00,10.0,565,3.30
176,fill1,8,0.00,36.7,565,3.29
176,fill1,9,0.00,36.6,565,3.29
176,fill1,10,0.00,36.8,565,3.29
176,fill1,11,0.00,36.9,565,3.29
176,fill1,12,0.00,36.8,565,3.29
176,fill1,13,0.00,36.9,565,3.29
176,fill1,14,0.00,36.8,565,3.29
176,fill1,15,0.00,37.0,565,3.29
176,fill1,16,0.00,36.9,565,3.30
236,fill0,0,0.00,46.7,424,3.29
236,fill0,1,0.00,47.0,424,3.29
236,fill0,2,0.00,46.8,424,3.30
236,fill0,3,0.00,47.0,424,3.30
236,fill0,4,0.00,2.7,424,0.30
236,fill0,5,0.00,48.4,424,3.50
236,fill0,6,0.00,48.5,424,3.50
236,fill0,7,0.00,48.7,424,3.49
236,fill0,8,0.00,48.4,424,3.49
236,fill0,9,0.00,48.6,424,3.49
236,fill0,10,0.00,48.4,424,3.49
236,fill0,11,0.00,48.6,424,3.49
236,fill0,12,0.00,48.5,424,3.49
236,fill0,13,0.00,48.6,424,3.49
236,fill0,14,0.00,48.5,424,3.49
236,fill0,15,0.00,48.7,424,3.50
236,fill0,16,0.00,48.5,424,3.49
236,fill1,0,0.00,49.3,424,3.49
236,fill1,1,0.00,49.2,424,3.49
236,fill1,2,0.00,49.4,424,3.49
236,fill1,3,0.00,49.3,424,3.49
236,fill1,4,0.00,49.5,424,3.50
236,fill1,5,0.00,49.3,424,3.50
236,fill1,6,0.00,49.5,424,3.50
236,fill1,7,0.00,49.4,424,3.50
236,fill1,8,0.00,49.5,424,3.50
236,fill1,9,0.00,49.3,424,3.50
236,fill1,10,0.00,49.4,424,3.49
236,fill1,11,0.00,49.3,424,3.49
236,fill1,12,0.00,49.4,424,3.49
236,fill1,13,0.00,49.2,424,3.49
236,fill1,14,0.00,49.3,424,3.48
236,fill1,15,0.00,49.2,424,3.49
236,fill1,16,0.00,49.3,424,3.49
312,fill0,0,0.00,69.1,319,3.50
312,fill0,1,0.00,69.2,319,3.49
312,fill0,2,0.00,69.0,319,3.50
312,fill0,3,0.00,69.2,319,3.49
312,fill0,4,0.00,69.0,319,3.49
312,fill0,5,0.00,69.1,319,3.49
312,fill0,6,0.00,68.9,319,3.49
312,fill0,7,0.00,69.0,319,3.49
312,fill0,8,0.00,68.9,319,3.49
312,fill0,9,0.00,69.1,319,3.49
312,fill0,10,0.00,68.9,319,3.49
