Size,Algo,Trial,Stampms,GB/s,Iters,GHz
100,fill0,0,0.00,21.9,1000,3.30
100,fill0,1,0.00,22.0,1000,3.29
100,fill0,2,0.00,22.0,1000,3.29
100,fill0,3,0.00,21.9,1000,3.29
100,fill0,4,0.00,22.0,1000,3.29
100,fill0,5,0.00,22.0,1000,3.30
100,fill0,6,0.00,22.0,1000,3.30
100,fill0,7,0.00,21.9,1000,3.30
100,fill0,8,0.00,22.0,1000,3.29
100,fill0,9,0.00,21.9,1000,3.29
100,fill0,10,0.00,21.9,1000,3.29
100,fill0,11,0.00,21.9,1000,3.29
100,fill0,12,0.00,22.0,1000,3.30
100,fill0,13,0.00,22.0,1000,3.30
100,fill0,14,0.00,3.2,1000,0.60
100,fill0,15,0.00,23.6,1000,3.49
100,fill0,16,0.00,23.6,1000,3.49
100,fill1,0,0.00,23.6,1000,3.50
100,fill1,1,0.00,23.6,1000,3.50
100,fill1,2,0.00,23.6,1000,3.50
100,fill1,3,0.00,23.5,1000,3.49
100,fill1,4,0.00,23.5,1000,3.49
100,fill1,5,0.00,23.5,1000,3.49
100,fill1,6,0.00,23.5,1000,3.49
100,fill1,7,0.00,23.5,1000,3.49
100,fill1,8,0.00,23.6,1000,3.50
100,fill1,9,0.00,23.6,1000,3.50
100,fill1,10,0.00,23.5,1000,3.49
100,fill1,11,0.00,23.5,1000,3.49
100,fill1,12,0.00,23.5,1000,3.49
100,fill1,13,0.00,23.5,1000,3.49
100,fill1,14,0.00,23.5,1000,3.49
100,fill1,15,0.00,23.6,1000,3.50
100,fill1,16,0.00,23.5,1000,3.50
132,fill0,0,0.00,38.7,752,3.50
132,fill0,1,0.00,38.7,752,3.50
132,fill0,2,0.00,38.7,752,3.50
132,fill0,3,0.00,38.7,752,3.49
132,fill0,4,0.00,38.7,752,3.49
132,fill0,5,0.00,38.6,752,3.49
132,fill0,6,0.00,38.6,752,3.49
132,fill0,7,0.00,38.7,752,3.49
132,fill0,8,0.00,38.5,752,3.49
132,fill0,9,0.00,38.7,752,3.49
132,fill0,10,0.00,38.6,752,3.50
132,fill0,11,0.00,38.7,752,3.50
132,fill0,12,0.00,38.7,752,3.50
132,fill0,13,0.00,38.7,752,3.50
132,fill0,14,0.00,38.7,752,3.50
132,fill0,15,0.00,38.7,752,3.50
132,fill0,16,0.00,38.7,752,3.49
132,fill1,0,0.00,38.8,752,3.50
132,fill1,1,0.00,38.6,752,3.49
132,fill1,2,0.00,38.7,752,3.49
132,fill1,3,0.00,38.5,752,3.49
132,fill1,4,0.00,38.6,752,3.49
132,fill1,5,0.00,38.7,752,3.49
132,fill1,6,0.00,38.6,752,3.49
132,fill1,7,0.00,38.6,752,3.49
132,fill1,8,0.00,38.7,752,3.50
132,fill1,9,0.00,38.7,752,3.50
132,fill1,10,0.00,38.7,752,3.50
132,fill1,11,0.00,38.7,752,3.50
132,fill1,12,0.00,38.7,752,3.49
132,fill1,13,0.00,38.6,752,3.49
132,fill1,14,0.00,38.7,752,3.49
132,fill1,15,0.00,38.6,752,3.49
132,fill1,16,0.00,38.7,752,3.49
176,fill0,0,0.00,34.8,565,3.49
176,fill0,1,0.00,34.7,565,3.49
176,fill0,2,0.00,34.8,565,3.49
176,fill0,3,0.00,34.8,565,3.49
176,fill0,4,0.00,35.1,565,3.50
176,fill0,5,0.00,34.8,565,3.50
176,fill0,6,0.00,34.8,565,3.50
176,fill0,7,0.00,34.9,565,3.50
176,fill0,8,0.00,34.8,565,3.49
176,fill0,9,0.00,34.7,565,3.49
176,fill0,10,0.00,34.8,565,3.49
176,fill0,11,0.00,34.7,565,3.49
176,fill0,12,0.00,34.7,565,3.49
176,fill0,13,0.00,34.8,565,3.49
176,fill0,14,0.00,34.8,565,3.49
176,fill0,15,0.00,34.8,565,3.50
176,fill0,16,0.00,35.0,565,3.50
176,fill1,0,0.00,34.6,565,3.50
176,fill1,1,0.00,34.6,565,3.50
176,fill1,2,0.00,34.6,565,3.49
176,fill1,3,0.00,34.5,565,3.49
176,fill1,4,0.00,34.5,565,3.49
176,fill1,5,0.00,34.5,565,3.49
176,fill1,6,0.00,34.4,565,3.49
176,fill1,7,0.00,34.6,565,3.49
176,fill1,8,0.00,34.5,565,3.49
176,fill1,9,0.00,34.6,565,3.50
176,fill1,10,0.00,34.6,565,3.50
176,fill1,11,0.00,34.6,565,3.50
176,fill1,12,0.00,34.6,565,3.50
176,fill1,13,0.00,34.6,565,3.49
176,fill1,14,0.00,34.5,565,3.49
176,fill1,15,0.00,34.5,565,3.49
176,fill1,16,0.00,34.5,565,3.49
236,fill0,0,0.00,45.2,424,3.49
236,fill0,1,0.00,45.3,424,3.49
236,fill0,2,0.00,45.2,424,3.49
236,fill0,3,0.00,45.2,424,3.49
236,fill0,4,0.00,45.2,424,3.49
236,fill0,5,0.00,45.2,424,3.49
236,fill0,6,0.00,45.2,424,3.49
236,fill0,7,0.00,45.3,424,3.49
236,fill0,8,0.00,45.3,424,3.50
236,fill0,9,0.00,45.4,424,3.50
236,fill0,10,0.00,45.3,424,3.50
236,fill0,11,0.00,45.4,424,3.50
236,fill0,12,0.00,45.3,424,3.50
236,fill0,13,0.00,45.3,424,3.49
236,fill0,14,0.00,45.2,424,3.49
236,fill0,15,0.00,45.3,424,3.49
236,fill0,16,0.00,45.2,424,3.49
236,fill1,0,0.00,46.8,424,3.50
236,fill1,1,0.00,46.7,424,3.49
236,fill1,2,0.00,46.6,424,3.49
236,fill1,3,0.00,46.7,424,3.49
236,fill1,4,0.00,46.6,424,3.49
236,fill1,5,0.00,46.7,424,3.49
236,fill1,6,0.00,46.7,424,3.49
236,fill1,7,0.00,46.8,424,3.49
236,fill1,8,0.00,46.7,424,3.49
236,fill1,9,0.00,46.8,424,3.49
236,fill1,10,0.00,46.8,424,3.50
236,fill1,11,0.00,46.8,424,3.50
236,fill1,12,0.00,46.8,424,3.50
236,fill1,13,0.00,46.8,424,3.50
236,fill1,14,0.00,46.8,424,3.50
236,fill1,15,0.00,46.8,424,3.49
236,fill1,16,0.00,46.7,424,3.49
312,fill0,0,0.00,47.9,319,3.50
312,fill0,1,0.00,47.9,319,3.50
312,fill0,2,0.00,47.7,319,3.50
312,fill0,3,0.00,47.9,319,3.49
312,fill0,4,0.00,47.8,319,3.49
312,fill0,5,0.00,47.8,319,3.49
312,fill0,6,0.00,47.8,319,3.49
312,fill0,7,0.00,47.6,319,3.48
312,fill0,8,0.00,47.8,319,3.49
312,fill0,9,0.00,47.8,319,3.49
312,fill0,10,0.00,47.8,319,3.49
312,fill0,11,0.00,47.9,319,3.49
312,fill0,12,0.00,47.7,319,3.50
312,fill0,13,0.00,48.0,319,3.50
312,fill0,14,0.00,47.9,319,3.50
312,fill0,15,0.00,48.0,319,3.50
312,fill0,16,0.00,47.7,319,3.50
312,fill1,0,0.00,53.1,319,3.50
312,fill1,1,0.00,52.9,319,3.50
312,fill1,2,0.00,52.6,319,3.50
312,fill1,3,0.00,52.8,319,3.50
312,fill1,4,0.00,52.9,319,3.50
312,fill1,5,0.00,52.7,319,3.49
312,fill1,6,0.00,52.7,319,3.49
312,fill1,7,0.00,52.6,319,3.50
312,fill1,8,0.00,52.7,319,3.49
312,fill1,9,0.00,52.6,319,3.49
312,fill1,10,0.00,52.4,319,3.49
312,fill1,11,0.00,52.6,319,3.48
312,fill1,12,0.00,52.8,319,3.49
312,fill1,13,0.00,52.4,319,3.49
312,fill1,14,0.00,52.6,319,3.49
312,fill1,15,0.00,52.7,319,3.49
312,fill1,16,0.00,52.7,319,3.49
416,fill0,0,0.00,75.0,240,3.49
416,fill0,1,0.00,75.9,240,3.49
416,fill0,2,0.00,75.2,240,3.49
416,fill0,3,0.00,75.1,240,3.49
416,fill0,4,0.00,75.5,240,3.49
416,fill0,5,0.00,74.7,240,3.49
416,fill0,6,0.00,75.1,240,3.49
416,fill0,7,0.00,75.1,240,3.49
416,fill0,8,0.00,75.6,240,3.49
416,fill0,9,0.00,74.7,240,3.49
416,fill0,10,0.00,75.4,240,3.49
416,fill0,11,0.00,75.3,240,3.50
416,fill0,12,0.00,75.6,240,3.49
416,fill0,13,0.00,74.9,240,3.50
416,fill0,14,0.00,75.4,240,3.50
416,fill0,15,0.00,75.4,240,3.50
416,fill0,16,0.00,75.4,240,3.50
416,fill1,0,0.00,76.4,240,3.49
416,fill1,1,0.00,75.6,240,3.49
416,fill1,2,0.00,76.1,240,3.48
416,fill1,3,0.00,76.1,240,3.49
416,fill1,4,0.00,75.8,240,3.49
416,fill1,5,0.00,76.3,240,3.49
416,fill1,6,0.00,76.2,240,3.49
416,fill1,7,0.00,75.8,240,3.49
416,fill1,8,0.00,76.4,240,3.50
416,fill1,9,0.00,76.1,240,3.50
416,fill1,10,0.00,76.0,240,3.50
416,fill1,11,0.00,76.3,240,3.50
416,fill1,12,0.00,76.4,240,3.50
416,fill1,13,0.00,76.2,240,3.50
416,fill1,14,0.00,76.4,240,3.51
416,fill1,15,0.00,76.3,240,3.50
416,fill1,16,0.00,76.3,240,3.50
556,fill0,0,0.00,109.0,180,3.48
556,fill0,1,0.00,109.5,180,3.48
556,fill0,2,0.00,109.3,180,3.49
556,fill0,3,0.00,109.3,180,3.48
556,fill0,4,0.00,109.5,180,3.49
556,fill0,5,0.00,109.4,180,3.49
556,fill0,6,0.00,109.7,180,3.50
556,fill0,7,0.00,109.3,180,3.49
556,fill0,8,0.00,109.7,180,3.50
556,fill0,9,0.00,109.7,180,3.49
556,fill0,10,0.00,109.4,180,3.50
556,fill0,11,0.00,110.3,180,3.50
556,fill0,12,0.00,109.3,180,3.49
556,fill0,13,0.00,110.3,180,3.50
556,fill0,14,0.00,109.0,180,3.49
556,fill0,15,0.00,110.0,180,3.50
556,fill0,16,0.00,109.9,180,3.50
556,fill1,0,0.00,109.5,180,3.49
556,fill1,1,0.00,108.5,180,3.49
556,fill1,2,0.00,109.0,180,3.48
556,fill1,3,0.00,106.7,180,3.49
556,fill1,4,0.00,109.5,180,3.49
556,fill1,5,0.00,109.1,180,3.49
556,fill1,6,0.00,3.6,180,0.25
556,fill1,7,0.00,100.8,180,3.29
556,fill1,8,0.00,102.6,180,3.29
556,fill1,9,0.00,101.7,180,3.29
556,fill1,10,0.00,102.1,180,3.29
556,fill1,11,0.00,102.6,180,3.29
556,fill1,12,0.00,101.9,180,3.30
556,fill1,13,0.00,102.6,180,3.29
556,fill1,14,0.00,102.0,180,3.29
556,fill1,15,0.00,103.1,180,3.30
556,fill1,16,0.00,101.7,180,3.29
740,fill0,0,0.00,124.9,135,3.30
740,fill0,1,0.00,125.3,135,3.30
740,fill0,2,0.00,124.7,135,3.30
740,fill0,3,0.00,124.9,135,3.30
740,fill0,4,0.00,125.3,135,3.30
740,fill0,5,0.00,126.0,135,3.30
740,fill0,6,0.00,124.4,135,3.29
740,fill0,7,0.00,125.8,135,3.29
740,fill0,8,0.00,124.9,135,3.30
740,fill0,9,0.00,125.7,135,3.29
740,fill0,10,0.00,125.0,135,3.29
740,fill0,11,0.00,125.0,135,3.29
740,fill0,12,0.00,124.4,135,3.29
740,fill0,13,0.00,124.7,135,3.29
740,fill0,14,0.00,124.3,135,3.28
740,fill0,15,0.00,125.2,135,3.29
740,fill0,16,0.00,123.8,135,3.29
740,fill1,0,0.00,110.3,135,3.29
740,fill1,1,0.00,114.7,135,3.30
740,fill1,2,0.00,115.2,135,3.30
740,fill1,3,0.00,115.6,135,3.30
740,fill1,4,0.00,119.8,135,3.30
740,fill1,5,0.00,122.9,135,3.31
740,fill1,6,0.00,114.3,135,3.30
740,fill1,7,0.00,115.9,135,3.30
740,fill1,8,0.00,113.8,135,3.30
740,fill1,9,0.00,119.5,135,3.30
740,fill1,10,0.00,114.4,135,3.29
740,fill1,11,0.00,114.4,135,3.30
740,fill1,12,0.00,118.2,135,3.29
740,fill1,13,0.00,117.3,135,3.30
740,fill1,14,0.00,115.1,135,3.30
740,fill1,15,0.00,116.4,135,3.29
740,fill1,16,0.00,115.9,135,3.29
988,fill0,0,0.00,144.2,102,3.29
988,fill0,1,0.00,141.5,102,3.29
988,fill0,2,0.00,143.1,102,3.29
988,fill0,3,0.00,143.4,102,3.29
988,fill0,4,0.00,144.6,102,3.29
988,fill0,5,0.00,144.2,102,3.29
988,fill0,6,0.00,145.2,102,3.29
988,fill0,7,0.00,143.4,102,3.30
988,fill0,8,0.00,143.8,102,3.30
988,fill0,9,0.00,144.0,102,3.29
988,fill0,10,0.00,143.8,102,3.30
988,fill0,11,0.00,142.9,102,3.30
988,fill0,12,0.00,144.6,102,3.30
988,fill0,13,0.00,144.8,102,3.30
988,fill0,14,0.00,143.1,102,3.30
988,fill0,15,0.00,144.2,102,3.30
988,fill0,16,0.00,144.0,102,3.30
988,fill1,0,0.00,136.6,102,3.29
988,fill1,1,0.00,143.1,102,3.29
988,fill1,2,0.00,136.0,102,3.29
988,fill1,3,0.00,130.9,102,3.29
988,fill1,4,0.00,135.5,102,3.29
988,fill1,5,0.00,129.4,102,3.30
988,fill1,6,0.00,140.6,102,3.30
988,fill1,7,0.00,141.7,102,3.29
988,fill1,8,0.00,135.5,102,3.28
988,fill1,9,0.00,134.0,102,3.29
988,fill1,10,0.00,133.5,102,3.29
988,fill1,11,0.00,131.4,102,3.29
988,fill1,12,0.00,136.7,102,3.29
988,fill1,13,0.00,142.5,102,3.30
988,fill1,14,0.00,139.0,102,3.29
988,fill1,15,0.00,133.3,102,3.29
988,fill1,16,0.00,131.0,102,3.29
1316,fill0,0,0.00,159.3,76,3.49
1316,fill0,1,0.00,159.5,76,3.50
1316,fill0,2,0.00,159.5,76,3.50
1316,fill0,3,0.00,158.8,76,3.49
1316,fill0,4,0.00,156.8,76,3.49
1316,fill0,5,0.00,159.5,76,3.50
1316,fill0,6,0.00,159.8,76,3.50
1316,fill0,7,0.00,158.5,76,3.50
1316,fill0,8,0.00,157.0,76,3.49
1316,fill0,9,0.00,159.8,76,3.50
1316,fill0,10,0.00,157.5,76,3.50
1316,fill0,11,0.00,159.5,76,3.50
1316,fill0,12,0.00,159.8,76,3.50
1316,fill0,13,0.00,159.5,76,3.50
1316,fill0,14,0.00,157.8,76,3.51
1316,fill0,15,0.00,159.5,76,3.50
1316,fill0,16,0.00,157.3,76,3.50
1316,fill1,0,0.00,151.3,76,3.49
1316,fill1,1,0.00,150.4,76,3.49
1316,fill1,2,0.00,150.9,76,3.49
1316,fill1,3,0.00,152.7,76,3.49
1316,fill1,4,0.00,148.8,76,3.49
1316,fill1,5,0.00,159.5,76,3.50
1316,fill1,6,0.00,147.7,76,3.48
1316,fill1,7,0.00,159.0,76,3.49
1316,fill1,8,0.00,151.8,76,3.48
1316,fill1,9,0.00,159.0,76,3.48
1316,fill1,10,0.00,151.8,76,3.49
1316,fill1,11,0.00,159.0,76,3.49
1316,fill1,12,0.00,148.6,76,3.50
1316,fill1,13,0.00,149.5,76,3.48
1316,fill1,14,0.00,151.3,76,3.49
1316,fill1,15,0.00,149.7,76,3.50
1316,fill1,16,0.00,150.2,76,3.49
1756,fill0,0,0.00,172.6,57,3.50
1756,fill0,1,0.00,173.2,57,3.50
1756,fill0,2,0.00,172.9,57,3.50
1756,fill0,3,0.00,173.2,57,3.50
1756,fill0,4,0.00,173.8,57,3.51
1756,fill0,5,0.00,173.2,57,3.51
1756,fill0,6,0.00,172.9,57,3.50
1756,fill0,7,0.00,173.2,57,3.50
1756,fill0,8,0.00,172.9,57,3.49
1756,fill0,9,0.00,173.8,57,3.51
1756,fill0,10,0.00,172.6,57,3.49
1756,fill0,11,0.00,173.2,57,3.50
1756,fill0,12,0.00,172.9,57,3.49
1756,fill0,13,0.00,172.9,57,3.50
1756,fill0,14,0.00,173.2,57,3.50
1756,fill0,15,0.00,172.6,57,3.49
1756,fill0,16,0.00,172.6,57,3.49
1756,fill1,0,0.00,168.5,57,3.50
1756,fill1,1,0.00,172.0,57,3.49
1756,fill1,2,0.00,167.7,57,3.49
1756,fill1,3,0.00,169.9,57,3.49
1756,fill1,4,0.00,159.9,57,3.48
1756,fill1,5,0.00,172.0,57,3.50
1756,fill1,6,0.00,166.3,57,3.49
1756,fill1,7,0.00,165.7,57,3.49
1756,fill1,8,0.00,162.2,57,3.49
1756,fill1,9,0.00,162.8,57,3.50
1756,fill1,10,0.00,169.6,57,3.49
1756,fill1,11,0.00,162.2,57,3.50
1756,fill1,12,0.00,163.8,57,3.49
1756,fill1,13,0.00,163.5,57,3.49
1756,fill1,14,0.00,170.8,57,3.50
1756,fill1,15,0.00,167.9,57,3.49
