Size,Algo,Trial,Stampms,GB/s,Iters,l2-out-silent,l2-out-non-silent
40000,fill0,0,0.00,43.8,3,0.00,0.00
40000,fill0,1,0.00,43.8,3,0.00,0.00
40000,fill0,2,0.00,43.8,3,0.00,0.00
40000,fill0,3,0.00,44.0,3,0.00,0.00
40000,fill0,4,0.00,43.8,3,0.00,0.00
40000,fill0,5,0.00,43.7,3,0.00,0.00
40000,fill0,6,0.00,43.8,3,0.00,0.00
40000,fill0,7,0.00,44.2,3,0.00,0.00
40000,fill0,8,0.00,43.8,3,0.00,0.00
40000,fill0,9,0.00,43.6,3,0.00,0.00
40000,fill0,10,0.00,44.1,3,0.00,0.00
40000,fill0,11,0.00,43.7,3,0.00,0.00
40000,fill0,12,0.00,44.2,3,0.00,0.00
40000,fill0,13,0.00,43.9,3,0.00,0.00
40000,fill0,14,0.00,44.0,3,0.00,0.00
40000,fill0,15,0.00,44.0,3,0.00,0.00
40000,fill0,16,0.00,43.8,3,0.00,0.00
40000,fill1,0,0.00,44.0,3,0.00,0.00
40000,fill1,1,0.00,44.1,3,0.00,0.00
40000,fill1,2,0.00,44.2,3,0.00,0.00
40000,fill1,3,0.00,44.2,3,0.00,0.00
40000,fill1,4,0.00,43.9,3,0.00,0.00
40000,fill1,5,0.00,44.3,3,0.00,0.00
40000,fill1,6,0.00,44.0,3,0.00,0.00
40000,fill1,7,0.00,44.2,3,0.00,0.00
40000,fill1,8,0.00,44.2,3,0.00,0.00
40000,fill1,9,0.00,43.6,3,0.00,0.00
40000,fill1,10,0.00,44.1,3,0.00,0.00
40000,fill1,11,0.00,44.1,3,0.00,0.00
40000,fill1,12,0.00,44.1,3,0.00,0.00
40000,fill1,13,0.00,43.9,3,0.00,0.00
40000,fill1,14,0.00,44.2,3,0.00,0.00
40000,fill1,15,0.00,43.3,3,0.00,0.00
40000,fill1,16,0.00,44.0,3,0.00,0.00
40000,alt01,0,0.00,43.9,3,0.00,0.00
40000,alt01,1,0.00,43.9,3,0.00,0.00
40000,alt01,2,0.00,43.7,3,0.00,0.00
40000,alt01,3,0.00,43.3,3,0.00,0.00
40000,alt01,4,0.00,43.8,3,0.00,0.00
40000,alt01,5,0.00,43.8,3,0.00,0.00
40000,alt01,6,0.00,43.7,3,0.00,0.00
40000,alt01,7,0.00,43.7,3,0.00,0.00
40000,alt01,8,0.00,43.9,3,0.00,0.00
40000,alt01,9,0.00,44.1,3,0.00,0.00
40000,alt01,10,0.00,44.0,3,0.00,0.00
40000,alt01,11,0.00,43.6,3,0.00,0.00
40000,alt01,12,0.00,44.0,3,0.00,0.00
40000,alt01,13,0.00,43.9,3,0.00,0.00
40000,alt01,14,0.00,43.2,3,0.00,0.00
40000,alt01,15,0.00,43.8,3,0.00,0.00
40000,alt01,16,0.00,43.9,3,0.00,0.00
44000,fill0,0,0.00,43.9,3,0.00,0.00
44000,fill0,1,0.00,44.0,3,0.00,0.00
44000,fill0,2,0.00,44.0,3,0.00,0.00
44000,fill0,3,0.00,44.1,3,0.00,0.00
44000,fill0,4,0.00,44.1,3,0.00,0.00
44000,fill0,5,0.00,44.0,3,0.00,0.00
44000,fill0,6,0.00,44.2,3,0.00,0.00
44000,fill0,7,0.00,44.1,3,0.00,0.00
44000,fill0,8,0.00,43.9,3,0.00,0.00
44000,fill0,9,0.00,44.1,3,0.00,0.00
44000,fill0,10,0.00,43.8,3,0.00,0.00
44000,fill0,11,0.00,43.7,3,0.00,0.00
44000,fill0,12,0.00,44.5,3,0.00,0.00
44000,fill0,13,0.00,44.2,3,0.00,0.00
44000,fill0,14,0.00,44.3,3,0.00,0.00
44000,fill0,15,0.00,44.3,3,0.00,0.00
44000,fill0,16,0.00,44.4,3,0.00,0.00
44000,fill1,0,0.00,44.0,3,0.00,0.00
44000,fill1,1,0.00,44.1,3,0.00,0.00
44000,fill1,2,0.00,44.3,3,0.00,0.00
44000,fill1,3,0.00,43.8,3,0.00,0.00
44000,fill1,4,0.00,44.2,3,0.00,0.00
44000,fill1,5,0.00,44.0,3,0.00,0.00
44000,fill1,6,0.00,44.2,3,0.00,0.00
44000,fill1,7,0.00,43.9,3,0.00,0.00
44000,fill1,8,0.00,44.1,3,0.00,0.00
44000,fill1,9,0.00,43.9,3,0.00,0.00
44000,fill1,10,0.00,43.5,3,0.00,0.00
44000,fill1,11,0.00,43.9,3,0.00,0.00
44000,fill1,12,0.00,43.8,3,0.00,0.00
44000,fill1,13,0.00,43.7,3,0.00,0.00
44000,fill1,14,0.00,44.1,3,0.00,0.00
44000,fill1,15,0.00,44.0,3,0.00,0.00
44000,fill1,16,0.00,44.0,3,0.00,0.00
44000,alt01,0,0.00,47.8,3,0.00,0.00
44000,alt01,1,0.00,48.1,3,0.00,0.00
44000,alt01,2,0.00,47.8,3,0.00,0.00
44000,alt01,3,0.00,48.0,3,0.00,0.00
44000,alt01,4,0.00,48.0,3,0.00,0.00
44000,alt01,5,0.00,47.9,3,0.00,0.00
44000,alt01,6,0.00,47.6,3,0.00,0.00
44000,alt01,7,0.00,47.7,3,0.00,0.00
44000,alt01,8,0.00,47.3,3,0.00,0.00
44000,alt01,9,0.00,47.7,3,0.00,0.00
44000,alt01,10,0.00,47.6,3,0.00,0.00
44000,alt01,11,0.00,47.6,3,0.00,0.00
44000,alt01,12,0.00,47.9,3,0.00,0.00
44000,alt01,13,0.00,47.9,3,0.00,0.00
44000,alt01,14,0.00,47.9,3,0.00,0.00
44000,alt01,15,0.00,47.5,3,0.00,0.00
44000,alt01,16,0.00,47.8,3,0.00,0.00
48400,fill0,0,0.00,47.1,3,0.00,0.00
