Size,Algo,Trial,Stampms,GB/s,Iters,uncR,uncW
300000,fill0,0,0.01,33.3,2,0.00,0.00
300000,fill0,1,0.01,33.2,2,0.00,0.00
300000,fill0,2,0.01,33.3,2,0.00,0.00
300000,fill0,3,0.01,33.3,2,0.00,0.00
300000,fill0,4,0.01,33.2,2,0.00,0.00
300000,fill0,5,0.01,33.2,2,0.00,0.00
300000,fill0,6,0.01,33.1,2,0.00,0.00
300000,fill0,7,0.01,33.2,2,0.00,0.00
300000,fill0,8,0.01,33.2,2,0.00,0.00
300000,fill0,9,0.01,33.3,2,0.00,0.00
300000,fill0,10,0.01,33.1,2,0.00,0.00
300000,fill0,11,0.01,33.3,2,0.00,0.00
300000,fill0,12,0.01,33.1,2,0.00,0.00
300000,fill0,13,0.01,33.1,2,0.00,0.00
300000,fill0,14,0.01,33.2,2,0.00,0.00
300000,fill0,15,0.01,33.2,2,0.00,0.00
300000,fill0,16,0.01,33.3,2,0.00,0.00
300000,fill1,0,0.01,31.6,2,0.00,0.00
300000,fill1,1,0.01,31.7,2,0.00,0.00
300000,fill1,2,0.01,31.7,2,0.00,0.00
300000,fill1,3,0.01,31.6,2,0.00,0.00
300000,fill1,4,0.01,31.7,2,0.00,0.00
300000,fill1,5,0.01,31.6,2,0.00,0.00
300000,fill1,6,0.01,31.8,2,0.00,0.00
300000,fill1,7,0.01,31.8,2,0.00,0.00
300000,fill1,8,0.01,31.8,2,0.00,0.00
300000,fill1,9,0.01,31.6,2,0.00,0.00
300000,fill1,10,0.01,31.9,2,0.00,0.00
300000,fill1,11,0.01,31.7,2,0.00,0.00
300000,fill1,12,0.01,31.8,2,0.00,0.00
300000,fill1,13,0.01,31.8,2,0.00,0.00
300000,fill1,14,0.01,31.7,2,0.00,0.00
300000,fill1,15,0.01,31.6,2,0.00,0.00
300000,fill1,16,0.01,31.8,2,0.00,0.00
300000,alt01,0,0.01,32.1,2,0.00,0.00
300000,alt01,1,0.01,32.3,2,0.00,0.00
300000,alt01,2,0.01,32.2,2,0.00,0.00
300000,alt01,3,0.01,32.3,2,0.00,0.00
300000,alt01,4,0.01,31.9,2,0.00,0.00
300000,alt01,5,0.01,32.2,2,0.00,0.00
300000,alt01,6,0.01,32.2,2,0.00,0.00
300000,alt01,7,0.01,32.0,2,0.00,0.00
300000,alt01,8,0.01,32.3,2,0.00,0.00
300000,alt01,9,0.01,32.4,2,0.00,0.00
300000,alt01,10,0.01,32.3,2,0.00,0.00
300000,alt01,11,0.01,32.3,2,0.00,0.00
300000,alt01,12,0.01,32.1,2,0.00,0.00
300000,alt01,13,0.01,32.1,2,0.00,0.00
300000,alt01,14,0.01,32.0,2,0.00,0.00
300000,alt01,15,0.01,32.1,2,0.00,0.00
300000,alt01,16,0.01,32.2,2,0.00,0.00
330000,fill0,0,0.01,32.0,2,0.01,0.00
330000,fill0,1,0.01,32.3,2,0.00,0.00
330000,fill0,2,0.01,31.9,2,0.00,0.00
330000,fill0,3,0.01,32.2,2,0.00,0.00
330000,fill0,4,0.01,32.3,2,0.00,0.00
330000,fill0,5,0.01,32.1,2,0.00,0.00
330000,fill0,6,0.01,32.1,2,0.00,0.00
330000,fill0,7,0.01,32.2,2,0.00,0.00
330000,fill0,8,0.01,32.1,2,0.00,0.00
330000,fill0,9,0.01,32.6,2,0.00,0.00
330000,fill0,10,0.01,32.2,2,0.00,0.00
330000,fill0,11,0.01,32.2,2,0.00,0.00
330000,fill0,12,0.01,32.3,2,0.00,0.00
330000,fill0,13,0.01,32.2,2,0.00,0.00
330000,fill0,14,0.01,32.4,2,0.00,0.00
330000,fill0,15,0.01,32.0,2,0.00,0.00
330000,fill0,16,0.01,32.0,2,0.00,0.00
330000,fill1,0,0.01,30.1,2,0.00,0.00
330000,fill1,1,0.01,30.0,2,0.00,0.00
330000,fill1,2,0.01,29.9,2,0.00,0.00
330000,fill1,3,0.01,30.1,2,0.00,0.00
330000,fill1,4,0.01,30.1,2,0.00,0.00
330000,fill1,5,0.01,30.2,2,0.00,0.00
330000,fill1,6,0.01,30.1,2,0.00,0.00
330000,fill1,7,0.01,30.1,2,0.00,0.00
330000,fill1,8,0.01,30.1,2,0.00,0.00
330000,fill1,9,0.01,30.0,2,0.00,0.00
330000,fill1,10,0.01,30.0,2,0.00,0.00
330000,fill1,11,0.01,30.1,2,0.00,0.00
330000,fill1,12,0.01,30.1,2,0.00,0.00
330000,fill1,13,0.01,30.1,2,0.00,0.00
330000,fill1,14,0.01,30.1,2,0.00,0.00
330000,fill1,15,0.01,30.0,2,0.00,0.00
330000,fill1,16,0.01,30.2,2,0.00,0.00
330000,alt01,0,0.01,30.5,2,0.00,0.00
330000,alt01,1,0.01,30.6,2,0.00,0.00
330000,alt01,2,0.01,30.6,2,0.00,0.00
330000,alt01,3,0.01,30.5,2,0.00,0.00
330000,alt01,4,0.01,30.5,2,0.00,0.00
330000,alt01,5,0.01,30.6,2,0.00,0.00
330000,alt01,6,0.01,30.5,2,0.00,0.00
330000,alt01,7,0.01,30.6,2,0.00,0.00
330000,alt01,8,0.01,30.6,2,0.00,0.00
330000,alt01,9,0.01,30.5,2,0.00,0.00
330000,alt01,10,0.01,30.4,2,0.00,0.00
330000,alt01,11,0.01,30.6,2,0.00,0.00
330000,alt01,12,0.01,30.4,2,0.00,0.00
330000,alt01,13,0.01,30.6,2,0.00,0.00
330000,alt01,14,0.01,30.6,2,0.00,0.00
330000,alt01,15,0.01,30.5,2,0.00,0.00
330000,alt01,16,0.01,30.5,2,0.00,0.00
363000,fill0,0,0.01,31.0,2,0.00,0.00
363000,fill0,1,0.01,31.0,2,0.00,0.00
363000,fill0,2,0.01,31.1,2,0.00,0.00
363000,fill0,3,0.01,31.0,2,0.00,0.00
363000,fill0,4,0.01,30.9,2,0.00,0.00
363000,fill0,5,0.01,31.1,2,0.00,0.00
363000,fill0,6,0.01,31.0,2,0.00,0.00
363000,fill0,7,0.01,31.2,2,0.00,0.00
363000,fill0,8,0.01,31.0,2,0.00,0.00
363000,fill0,9,0.01,31.0,2,0.00,0.00
363000,fill0,10,0.01,31.0,2,0.00,0.00
363000,fill0,11,0.01,31.1,2,0.00,0.00
363000,fill0,12,0.01,31.1,2,0.00,0.00
363000,fill0,13,0.01,31.2,2,0.00,0.00
363000,fill0,14,0.01,31.0,2,0.00,0.00
363000,fill0,15,0.01,31.1,2,0.00,0.00
363000,fill0,16,0.01,31.0,2,0.00,0.00
363000,fill1,0,0.01,27.9,2,0.00,0.00
363000,fill1,1,0.01,27.9,2,0.00,0.00
363000,fill1,2,0.01,28.0,2,0.00,0.00
363000,fill1,3,0.01,28.0,2,0.00,0.00
363000,fill1,4,0.01,27.9,2,0.00,0.00
363000,fill1,5,0.01,28.0,2,0.00,0.00
363000,fill1,6,0.01,27.9,2,0.00,0.00
363000,fill1,7,0.01,27.9,2,0.00,0.00
363000,fill1,8,0.01,27.8,2,0.00,0.00
363000,fill1,9,0.01,28.0,2,0.00,0.00
363000,fill1,10,0.01,28.0,2,0.00,0.00
363000,fill1,11,0.01,28.0,2,0.00,0.00
363000,fill1,12,0.01,28.0,2,0.00,0.00
363000,fill1,13,0.01,27.9,2,0.00,0.00
363000,fill1,14,0.01,27.9,2,0.00,0.00
363000,fill1,15,0.01,27.9,2,0.00,0.00
363000,fill1,16,0.01,27.9,2,0.00,0.00
363000,alt01,0,0.01,28.4,2,0.00,0.00
363000,alt01,1,0.01,28.4,2,0.00,0.00
363000,alt01,2,0.01,28.6,2,0.00,0.00
363000,alt01,3,0.01,28.6,2,0.00,0.00
363000,alt01,4,0.01,28.7,2,0.00,0.00
363000,alt01,5,0.01,28.7,2,0.00,0.00
363000,alt01,6,0.01,28.7,2,0.00,0.00
363000,alt01,7,0.01,28.7,2,0.00,0.00
363000,alt01,8,0.01,28.6,2,0.00,0.00
363000,alt01,9,0.01,28.6,2,0.00,0.00
363000,alt01,10,0.01,28.5,2,0.00,0.00
363000,alt01,11,0.01,28.6,2,0.00,0.00
363000,alt01,12,0.01,28.5,2,0.00,0.00
363000,alt01,13,0.01,28.5,2,0.00,0.00
363000,alt01,14,0.01,28.6,2,0.00,0.00
363000,alt01,15,0.01,28.6,2,0.00,0.00
363000,alt01,16,0.01,28.4,2,0.00,0.00
399300,fill0,0,0.01,30.5,2,0.00,0.00
399300,fill0,1,0.01,30.5,2,0.00,0.00
399300,fill0,2,0.01,30.4,2,0.00,0.00
399300,fill0,3,0.01,30.5,2,0.00,0.00
399300,fill0,4,0.01,30.6,2,0.00,0.00
399300,fill0,5,0.02,26.2,2,0.00,0.00
399300,fill0,6,0.01,30.6,2,0.00,0.00
399300,fill0,7,0.01,30.5,2,0.00,0.00
399300,fill0,8,0.01,30.5,2,0.00,0.00
399300,fill0,9,0.01,30.5,2,0.00,0.00
399300,fill0,10,0.01,30.5,2,0.00,0.00
399300,fill0,11,0.01,30.6,2,0.00,0.00
399300,fill0,12,0.01,30.5,2,0.00,0.00
399300,fill0,13,0.01,30.5,2,0.00,0.00
399300,fill0,14,0.01,30.5,2,0.00,0.00
399300,fill0,15,0.01,30.5,2,0.00,0.00
399300,fill0,16,0.01,30.7,2,0.00,0.00
399300,fill1,0,0.01,27.0,2,0.00,0.00
399300,fill1,1,0.01,27.2,2,0.00,0.00
399300,fill1,2,0.01,27.0,2,0.00,0.00
399300,fill1,3,0.01,27.0,2,0.00,0.00
399300,fill1,4,0.01,27.0,2,0.00,0.00
399300,fill1,5,0.01,27.0,2,0.00,0.00
399300,fill1,6,0.01,27.1,2,0.00,0.00
399300,fill1,7,0.01,27.0,2,0.00,0.00
399300,fill1,8,0.01,27.0,2,0.00,0.00
399300,fill1,9,0.01,26.9,2,0.00,0.00
399300,fill1,10,0.01,27.1,2,0.00,0.00
399300,fill1,11,0.01,27.2,2,0.00,0.00
399300,fill1,12,0.01,27.1,2,0.00,0.00
399300,fill1,13,0.01,27.0,2,0.00,0.00
399300,fill1,14,0.01,27.2,2,0.00,0.00
399300,fill1,15,0.01,27.1,2,0.00,0.00
399300,fill1,16,0.01,27.1,2,0.00,0.00
399300,alt01,0,0.01,27.6,2,0.00,0.00
399300,alt01,1,0.01,27.6,2,0.00,0.00
399300,alt01,2,0.01,27.8,2,0.00,0.00
399300,alt01,3,0.01,27.7,2,0.00,0.00
399300,alt01,4,0.01,27.7,2,0.00,0.00
399300,alt01,5,0.01,27.8,2,0.00,0.00
399300,alt01,6,0.01,27.8,2,0.00,0.00
399300,alt01,7,0.01,27.6,2,0.00,0.00
