Size,Algo,Trial,Stampms,GB/s,Iters
100,fill0,0,0.00,15.0,1000
100,fill0,1,0.00,14.9,1000
100,fill0,2,0.00,14.9,1000
100,fill0,3,0.00,15.0,1000
100,fill0,4,0.00,15.0,1000
100,fill0,5,0.00,15.0,1000
100,fill0,6,0.00,14.9,1000
100,fill0,7,0.00,14.9,1000
100,fill0,8,0.00,15.0,1000
100,fill0,9,0.00,15.0,1000
100,fill0,10,0.00,14.9,1000
100,fill0,11,0.00,14.9,1000
100,fill0,12,0.00,14.9,1000
100,fill0,13,0.00,15.0,1000
100,fill0,14,0.00,15.0,1000
100,fill0,15,0.00,14.9,1000
100,fill0,16,0.00,14.9,1000
100,fill1,0,0.00,15.0,1000
100,fill1,1,0.00,15.0,1000
100,fill1,2,0.00,14.9,1000
100,fill1,3,0.00,14.9,1000
100,fill1,4,0.00,15.0,1000
100,fill1,5,0.00,15.0,1000
100,fill1,6,0.00,15.0,1000
100,fill1,7,0.00,14.9,1000
100,fill1,8,0.00,14.9,1000
100,fill1,9,0.00,15.0,1000
100,fill1,10,0.00,15.0,1000
100,fill1,11,0.00,15.0,1000
100,fill1,12,0.00,14.9,1000
100,fill1,13,0.00,14.9,1000
100,fill1,14,0.00,15.0,1000
100,fill1,15,0.00,15.0,1000
100,fill1,16,0.00,14.9,1000
132,fill0,0,0.00,18.9,752
132,fill0,1,0.00,18.9,752
132,fill0,2,0.00,18.8,752
132,fill0,3,0.00,18.9,752
132,fill0,4,0.00,18.9,752
132,fill0,5,0.00,18.9,752
132,fill0,6,0.00,18.9,752
132,fill0,7,0.00,18.9,752
132,fill0,8,0.00,18.8,752
132,fill0,9,0.00,18.9,752
132,fill0,10,0.00,18.9,752
132,fill0,11,0.00,18.9,752
132,fill0,12,0.00,18.9,752
132,fill0,13,0.00,18.9,752
132,fill0,14,0.00,18.8,752
132,fill0,15,0.00,18.9,752
132,fill0,16,0.00,18.9,752
132,fill1,0,0.00,18.6,752
132,fill1,1,0.00,18.6,752
132,fill1,2,0.00,18.7,752
132,fill1,3,0.00,18.6,752
132,fill1,4,0.00,18.6,752
132,fill1,5,0.00,18.6,752
132,fill1,6,0.00,18.6,752
132,fill1,7,0.00,18.6,752
132,fill1,8,0.00,18.7,752
132,fill1,9,0.00,18.6,752
132,fill1,10,0.00,18.6,752
132,fill1,11,0.00,18.6,752
132,fill1,12,0.00,18.6,752
132,fill1,13,0.00,18.6,752
132,fill1,14,0.00,18.7,752
132,fill1,15,0.00,18.6,752
132,fill1,16,0.00,18.6,752
176,fill0,0,0.00,22.1,565
176,fill0,1,0.00,22.1,565
176,fill0,2,0.00,22.0,565
176,fill0,3,0.00,22.0,565
176,fill0,4,0.00,22.0,565
176,fill0,5,0.00,22.1,565
176,fill0,6,0.00,22.0,565
176,fill0,7,0.00,22.1,565
176,fill0,8,0.00,22.1,565
176,fill0,9,0.00,22.1,565
176,fill0,10,0.00,22.0,565
176,fill0,11,0.00,22.0,565
176,fill0,12,0.00,22.1,565
176,fill0,13,0.00,22.1,565
176,fill0,14,0.00,22.1,565
176,fill0,15,0.00,22.0,565
176,fill0,16,0.00,22.1,565
176,fill1,0,0.00,22.1,565
176,fill1,1,0.00,22.0,565
176,fill1,2,0.00,22.0,565
176,fill1,3,0.00,22.0,565
176,fill1,4,0.00,22.0,565
176,fill1,5,0.00,22.0,565
176,fill1,6,0.00,11.0,565
176,fill1,7,0.00,22.0,565
176,fill1,8,0.00,22.4,565
176,fill1,9,0.00,22.3,565
176,fill1,10,0.00,22.2,565
176,fill1,11,0.00,22.2,565
176,fill1,12,0.00,22.3,565
176,fill1,13,0.00,22.3,565
176,fill1,14,0.00,22.3,565
176,fill1,15,0.00,22.3,565
