Size,Algo,Trial,Stampms,GB/s,Iters,l2-out-silent,l2-out-non-silent
40000,fill0,0,0.00,179.4,3,0.00,0.00
40000,fill0,1,0.00,178.8,3,0.00,0.00
40000,fill0,2,0.00,164.6,3,0.00,0.00
40000,fill0,3,0.00,179.1,3,0.00,0.00
40000,fill0,4,0.00,179.1,3,0.00,0.00
40000,fill0,5,0.00,179.6,3,0.00,0.00
40000,fill0,6,0.00,179.4,3,0.00,0.00
40000,fill0,7,0.00,179.1,3,0.00,0.00
40000,fill0,8,0.00,179.6,3,0.00,0.00
40000,fill0,9,0.00,179.1,3,0.00,0.00
40000,fill0,10,0.00,179.4,3,0.00,0.00
40000,fill0,11,0.00,179.1,3,0.00,0.00
40000,fill0,12,0.00,179.6,3,0.00,0.00
40000,fill0,13,0.00,179.4,3,0.00,0.00
40000,fill0,14,0.00,179.4,3,0.00,0.00
40000,fill0,15,0.00,179.6,3,0.00,0.00
40000,fill0,16,0.00,179.4,3,0.00,0.00
40000,fill1,0,0.00,179.1,3,0.00,0.00
40000,fill1,1,0.00,179.1,3,0.00,0.00
40000,fill1,2,0.00,164.4,3,0.00,0.00
40000,fill1,3,0.00,166.7,3,0.00,0.00
40000,fill1,4,0.00,179.1,3,0.00,0.00
40000,fill1,5,0.00,179.4,3,0.00,0.00
40000,fill1,6,0.00,179.4,3,0.00,0.00
40000,fill1,7,0.00,179.4,3,0.00,0.00
40000,fill1,8,0.00,179.1,3,0.00,0.00
40000,fill1,9,0.00,179.4,3,0.00,0.00
40000,fill1,10,0.00,179.4,3,0.00,0.00
40000,fill1,11,0.00,179.4,3,0.00,0.00
40000,fill1,12,0.00,179.9,3,0.00,0.00
40000,fill1,13,0.00,179.4,3,0.00,0.00
40000,fill1,14,0.00,179.4,3,0.00,0.00
40000,fill1,15,0.00,179.9,3,0.00,0.00
40000,fill1,16,0.00,179.6,3,0.00,0.00
40000,alt01,0,0.00,179.9,3,0.00,0.00
40000,alt01,1,0.00,180.5,3,0.00,0.00
40000,alt01,2,0.00,164.4,3,0.00,0.00
40000,alt01,3,0.00,179.1,3,0.00,0.00
40000,alt01,4,0.00,180.5,3,0.00,0.00
40000,alt01,5,0.00,180.2,3,0.00,0.00
40000,alt01,6,0.00,180.5,3,0.00,0.00
40000,alt01,7,0.00,180.5,3,0.00,0.00
40000,alt01,8,0.00,180.5,3,0.00,0.00
40000,alt01,9,0.00,180.5,3,0.00,0.00
40000,alt01,10,0.00,180.7,3,0.00,0.00
40000,alt01,11,0.00,180.2,3,0.00,0.00
40000,alt01,12,0.00,180.5,3,0.00,0.00
40000,alt01,13,0.00,180.5,3,0.00,0.00
40000,alt01,14,0.00,180.5,3,0.00,0.00
40000,alt01,15,0.00,180.7,3,0.00,0.00
40000,alt01,16,0.00,181.0,3,0.00,0.00
42000,fill0,0,0.00,166.9,3,0.00,0.00
42000,fill0,1,0.00,167.6,3,0.00,0.00
42000,fill0,2,0.00,166.7,3,0.00,0.00
42000,fill0,3,0.00,167.8,3,0.00,0.00
42000,fill0,4,0.00,156.1,3,0.00,0.00
42000,fill0,5,0.00,155.7,3,0.00,0.00
42000,fill0,6,0.00,166.9,3,0.00,0.00
42000,fill0,7,0.00,167.8,3,0.00,0.00
42000,fill0,8,0.00,167.3,3,0.00,0.00
42000,fill0,9,0.00,167.3,3,0.00,0.00
42000,fill0,10,0.00,167.8,3,0.00,0.00
42000,fill0,11,0.00,167.8,3,0.00,0.00
42000,fill0,12,0.00,167.6,3,0.00,0.00
42000,fill0,13,0.00,168.2,3,0.00,0.00
42000,fill0,14,0.00,167.6,3,0.00,0.00
42000,fill0,15,0.00,167.3,3,0.00,0.00
42000,fill0,16,0.00,167.3,3,0.00,0.00
42000,fill1,0,0.00,166.4,3,0.00,0.00
42000,fill1,1,0.00,166.9,3,0.00,0.00
42000,fill1,2,0.00,165.8,3,0.00,0.00
42000,fill1,3,0.00,166.7,3,0.00,0.00
42000,fill1,4,0.00,156.7,3,0.00,0.00
42000,fill1,5,0.00,156.7,3,0.00,0.00
42000,fill1,6,0.00,166.9,3,0.00,0.00
42000,fill1,7,0.00,166.4,3,0.00,0.00
42000,fill1,8,0.00,167.6,3,0.00,0.00
42000,fill1,9,0.00,167.6,3,0.00,0.00
42000,fill1,10,0.00,166.7,3,0.00,0.00
42000,fill1,11,0.00,166.7,3,0.00,0.00
42000,fill1,12,0.00,166.9,3,0.00,0.00
42000,fill1,13,0.00,167.6,3,0.00,0.00
42000,fill1,14,0.00,166.7,3,0.00,0.00
42000,fill1,15,0.00,167.3,3,0.00,0.00
42000,fill1,16,0.00,166.7,3,0.00,0.00
42000,alt01,0,0.00,167.3,3,0.00,0.00
42000,alt01,1,0.00,166.4,3,0.00,0.00
42000,alt01,2,0.00,166.2,3,0.00,0.00
42000,alt01,3,0.00,167.3,3,0.00,0.00
42000,alt01,4,0.00,157.7,3,0.00,0.00
42000,alt01,5,0.00,155.7,3,0.00,0.00
42000,alt01,6,0.00,166.7,3,0.00,0.00
42000,alt01,7,0.00,166.9,3,0.00,0.00
42000,alt01,8,0.00,167.3,3,0.00,0.00
42000,alt01,9,0.00,166.7,3,0.00,0.00
42000,alt01,10,0.00,166.9,3,0.00,0.00
42000,alt01,11,0.00,168.2,3,0.00,0.00
42000,alt01,12,0.00,168.7,3,0.00,0.00
42000,alt01,13,0.00,168.2,3,0.00,0.00
42000,alt01,14,0.00,166.7,3,0.00,0.00
42000,alt01,15,0.00,166.7,3,0.00,0.00
42000,alt01,16,0.00,166.9,3,0.00,0.00
44100,fill0,0,0.00,161.9,3,0.00,0.00
44100,fill0,1,0.00,161.5,3,0.00,0.00
44100,fill0,2,0.00,163.7,3,0.00,0.00
44100,fill0,3,0.00,166.8,3,0.00,0.00
44100,fill0,4,0.00,157.5,3,0.00,0.00
44100,fill0,5,0.00,156.2,3,0.00,0.00
44100,fill0,6,0.00,166.0,3,0.00,0.00
44100,fill0,7,0.00,166.8,3,0.00,0.00
44100,fill0,8,0.00,166.8,3,0.00,0.00
44100,fill0,9,0.00,166.4,3,0.00,0.00
44100,fill0,10,0.00,166.0,3,0.00,0.00
44100,fill0,11,0.00,157.1,3,0.00,0.00
44100,fill0,12,0.00,158.3,3,0.00,0.00
44100,fill0,13,0.00,156.8,3,0.00,0.00
44100,fill0,14,0.00,158.3,3,0.00,0.00
44100,fill0,15,0.00,157.5,3,0.00,0.00
44100,fill0,16,0.00,156.8,3,0.00,0.00
44100,fill1,0,0.00,164.8,3,0.00,0.00
44100,fill1,1,0.00,164.6,3,0.00,0.00
44100,fill1,2,0.00,163.9,3,0.00,0.00
44100,fill1,3,0.00,156.4,3,0.00,0.00
44100,fill1,4,0.00,155.1,3,0.00,0.00
44100,fill1,5,0.00,155.5,3,0.00,0.00
44100,fill1,6,0.00,156.8,3,0.00,0.00
44100,fill1,7,0.00,156.8,3,0.00,0.00
44100,fill1,8,0.00,157.1,3,0.00,0.00
44100,fill1,9,0.00,156.8,3,0.00,0.00
44100,fill1,10,0.00,157.3,3,0.00,0.00
44100,fill1,11,0.00,157.5,3,0.00,0.00
44100,fill1,12,0.00,156.8,3,0.00,0.00
44100,fill1,13,0.00,157.3,3,0.00,0.00
44100,fill1,14,0.00,157.3,3,0.00,0.00
44100,fill1,15,0.00,157.5,3,0.00,0.00
44100,fill1,16,0.00,157.1,3,0.00,0.00
44100,alt01,0,0.00,156.2,3,0.00,0.00
44100,alt01,1,0.00,157.1,3,0.00,0.00
44100,alt01,2,0.00,155.6,3,0.00,0.00
44100,alt01,3,0.00,155.6,3,0.00,0.00
44100,alt01,4,0.00,153.5,3,0.00,0.00
44100,alt01,5,0.00,151.7,3,0.00,0.00
44100,alt01,6,0.00,155.6,3,0.00,0.00
44100,alt01,7,0.00,155.3,3,0.00,0.00
44100,alt01,8,0.00,155.6,3,0.00,0.00
44100,alt01,9,0.00,155.6,3,0.00,0.00
44100,alt01,10,0.00,155.8,3,0.00,0.00
44100,alt01,11,0.00,156.2,3,0.00,0.00
44100,alt01,12,0.00,156.4,3,0.00,0.00
44100,alt01,13,0.00,156.8,3,0.00,0.00
44100,alt01,14,0.00,156.4,3,0.00,0.00
44100,alt01,15,0.00,156.4,3,0.00,0.00
44100,alt01,16,0.00,156.4,3,0.00,0.00
46304,fill0,0,0.00,154.9,3,0.00,0.00
46304,fill0,1,0.00,146.5,3,0.00,0.00
46304,fill0,2,0.00,150.3,3,0.00,0.00
46304,fill0,3,0.00,149.0,3,0.00,0.00
46304,fill0,4,0.00,151.3,3,0.00,0.00
46304,fill0,5,0.00,145.3,3,0.00,0.00
46304,fill0,6,0.00,145.5,3,0.00,0.00
46304,fill0,7,0.00,143.1,3,0.00,0.00
46304,fill0,8,0.00,144.2,3,0.00,0.00
46304,fill0,9,0.00,142.3,3,0.00,0.00
46304,fill0,10,0.00,144.1,3,0.00,0.00
46304,fill0,11,0.00,140.5,3,0.00,0.00
46304,fill0,12,0.00,146.2,3,0.00,0.00
46304,fill0,13,0.00,145.3,3,0.00,0.00
46304,fill0,14,0.00,146.8,3,0.00,0.00
46304,fill0,15,0.00,147.3,3,0.00,0.00
46304,fill0,16,0.00,151.7,3,0.00,0.00
46304,fill1,0,0.00,156.1,3,0.00,0.00
46304,fill1,1,0.00,156.4,3,0.00,0.00
46304,fill1,2,0.00,155.7,3,0.00,0.00
46304,fill1,3,0.00,165.8,3,0.00,0.00
46304,fill1,4,0.00,155.7,3,0.00,0.00
46304,fill1,5,0.00,156.8,3,0.00,0.00
46304,fill1,6,0.00,155.0,3,0.00,0.00
46304,fill1,7,0.00,146.2,3,0.00,0.00
46304,fill1,8,0.00,146.1,3,0.00,0.00
46304,fill1,9,0.00,146.2,3,0.00,0.00
46304,fill1,10,0.00,144.7,3,0.00,0.00
46304,fill1,11,0.00,144.4,3,0.00,0.00
46304,fill1,12,0.00,146.5,3,0.00,0.00
46304,fill1,13,0.00,145.8,3,0.00,0.00
46304,fill1,14,0.00,146.1,3,0.00,0.00
46304,fill1,15,0.00,153.5,3,0.00,0.00
46304,fill1,16,0.00,150.7,3,0.00,0.00
46304,alt01,0,0.00,157.0,3,0.00,0.00
46304,alt01,1,0.00,157.0,3,0.00,0.00
46304,alt01,2,0.00,157.9,3,0.00,0.00
46304,alt01,3,0.00,168.0,3,0.00,0.00
46304,alt01,4,0.00,158.2,3,0.00,0.00
46304,alt01,5,0.00,158.4,3,0.00,0.00
46304,alt01,6,0.00,157.0,3,0.00,0.00
46304,alt01,7,0.00,148.4,3,0.00,0.00
46304,alt01,8,0.00,147.2,3,0.00,0.00
46304,alt01,9,0.00,148.1,3,0.00,0.00
46304,alt01,10,0.00,146.5,3,0.00,0.00
46304,alt01,11,0.00,147.0,3,0.00,0.00
46304,alt01,12,0.00,147.6,3,0.00,0.00
46304,alt01,13,0.00,146.8,3,0.00,0.00
46304,alt01,14,0.00,146.7,3,0.00,0.00
46304,alt01,15,0.00,155.4,3,0.00,0.00
46304,alt01,16,0.00,155.0,3,0.00,0.00
48620,fill0,0,0.00,99.2,3,0.00,0.00
48620,fill0,1,0.00,97.4,3,0.00,0.00
48620,fill0,2,0.00,98.6,3,0.00,0.00
48620,fill0,3,0.00,100.7,3,0.00,0.00
48620,fill0,4,0.00,102.1,3,0.00,0.00
48620,fill0,5,0.00,100.3,3,0.00,0.00
48620,fill0,6,0.00,100.0,3,0.00,0.00
48620,fill0,7,0.00,99.0,3,0.00,0.00
48620,fill0,8,0.00,99.8,3,0.00,0.00
48620,fill0,9,0.00,99.8,3,0.00,0.00
48620,fill0,10,0.00,100.0,3,0.00,0.00
48620,fill0,11,0.00,102.3,3,0.00,0.00
48620,fill0,12,0.00,100.2,3,0.00,0.00
48620,fill0,13,0.00,99.5,3,0.00,0.00
48620,fill0,14,0.00,99.6,3,0.00,0.00
48620,fill0,15,0.00,100.0,3,0.00,0.00
48620,fill0,16,0.00,101.7,3,0.00,0.00
48620,fill1,0,0.00,98.8,3,0.00,0.00
48620,fill1,1,0.00,100.5,3,0.00,0.00
48620,fill1,2,0.00,98.4,3,0.00,0.00
48620,fill1,3,0.00,102.6,3,0.00,0.00
48620,fill1,4,0.00,100.2,3,0.00,0.00
48620,fill1,5,0.00,102.0,3,0.00,0.00
48620,fill1,6,0.00,102.6,3,0.00,0.00
48620,fill1,7,0.00,102.1,3,0.00,0.00
48620,fill1,8,0.00,101.4,3,0.00,0.00
48620,fill1,9,0.00,100.9,3,0.00,0.00
48620,fill1,10,0.00,101.5,3,0.00,0.00
48620,fill1,11,0.00,102.3,3,0.00,0.00
48620,fill1,12,0.00,100.9,3,0.00,0.00
48620,fill1,13,0.00,100.9,3,0.00,0.00
48620,fill1,14,0.00,102.1,3,0.00,0.00
48620,fill1,15,0.00,102.7,3,0.00,0.00
48620,fill1,16,0.00,100.9,3,0.00,0.00
48620,alt01,0,0.00,100.5,3,0.00,0.00
48620,alt01,1,0.00,101.7,3,0.00,0.00
48620,alt01,2,0.00,100.0,3,0.00,0.00
48620,alt01,3,0.00,103.7,3,0.00,0.00
48620,alt01,4,0.00,103.7,3,0.00,0.00
48620,alt01,5,0.00,102.4,3,0.00,0.00
48620,alt01,6,0.00,101.9,3,0.00,0.00
48620,alt01,7,0.00,103.2,3,0.00,0.00
48620,alt01,8,0.00,101.3,3,0.00,0.00
48620,alt01,9,0.00,104.3,3,0.00,0.00
48620,alt01,10,0.00,100.9,3,0.00,0.00
48620,alt01,11,0.00,103.1,3,0.00,0.00
48620,alt01,12,0.00,102.1,3,0.00,0.00
