Size,Algo,Trial,Stampms,GB/s,Iters
100,fill0,0,0.00,4.2,1000
100,fill0,1,0.00,4.2,1000
100,fill0,2,0.00,4.2,1000
100,fill0,3,0.00,4.2,1000
100,fill0,4,0.00,4.3,1000
100,fill0,5,0.00,4.2,1000
100,fill0,6,0.00,4.2,1000
100,fill0,7,0.00,4.2,1000
100,fill0,8,0.00,4.2,1000
100,fill0,9,0.00,4.2,1000
100,fill0,10,0.00,4.3,1000
100,fill0,11,0.00,4.2,1000
100,fill0,12,0.00,4.2,1000
100,fill0,13,0.00,4.2,1000
100,fill0,14,0.00,4.3,1000
100,fill0,15,0.00,4.2,1000
100,fill0,16,0.00,4.3,1000
100,fill1,0,0.00,4.2,1000
100,fill1,1,0.00,4.2,1000
100,fill1,2,0.00,4.2,1000
100,fill1,3,0.00,4.2,1000
100,fill1,4,0.00,4.2,1000
100,fill1,5,0.00,4.2,1000
100,fill1,6,0.00,4.2,1000
100,fill1,7,0.00,4.2,1000
100,fill1,8,0.00,4.2,1000
100,fill1,9,0.00,2.1,1000
100,fill1,10,0.00,4.2,1000
100,fill1,11,0.00,4.3,1000
100,fill1,12,0.00,5.6,1000
100,fill1,13,0.00,5.6,1000
100,fill1,14,0.00,5.8,1000
100,fill1,15,0.00,6.1,1000
100,fill1,16,0.00,6.1,1000
100,fill01,0,0.00,9.4,1000
100,fill01,1,0.00,9.4,1000
100,fill01,2,0.00,9.4,1000
100,fill01,3,0.00,9.4,1000
100,fill01,4,0.00,9.4,1000
100,fill01,5,0.00,9.4,1000
100,fill01,6,0.00,9.4,1000
100,fill01,7,0.00,9.4,1000
100,fill01,8,0.00,9.4,1000
100,fill01,9,0.00,9.4,1000
100,fill01,10,0.00,9.4,1000
100,fill01,11,0.00,9.4,1000
100,fill01,12,0.00,9.4,1000
100,fill01,13,0.00,9.4,1000
100,fill01,14,0.00,9.4,1000
100,fill01,15,0.00,9.4,1000
100,fill01,16,0.00,9.4,1000
132,fill0,0,0.00,11.1,752
132,fill0,1,0.00,11.0,752
132,fill0,2,0.00,11.0,752
132,fill0,3,0.00,11.0,752
132,fill0,4,0.00,11.1,752
132,fill0,5,0.00,11.0,752
132,fill0,6,0.00,11.0,752
132,fill0,7,0.00,11.1,752
132,fill0,8,0.00,11.0,752
132,fill0,9,0.00,11.0,752
132,fill0,10,0.00,11.0,752
132,fill0,11,0.00,11.0,752
132,fill0,12,0.00,11.0,752
132,fill0,13,0.00,11.0,752
132,fill0,14,0.00,11.0,752
132,fill0,15,0.00,11.0,752
132,fill0,16,0.00,11.0,752
132,fill1,0,0.00,11.0,752
132,fill1,1,0.00,11.0,752
132,fill1,2,0.00,11.0,752
132,fill1,3,0.00,11.0,752
132,fill1,4,0.00,11.0,752
132,fill1,5,0.00,11.0,752
132,fill1,6,0.00,11.0,752
132,fill1,7,0.00,11.0,752
132,fill1,8,0.00,11.0,752
132,fill1,9,0.00,11.0,752
132,fill1,10,0.00,11.0,752
132,fill1,11,0.00,11.0,752
132,fill1,12,0.00,11.0,752
132,fill1,13,0.00,11.0,752
132,fill1,14,0.00,11.0,752
132,fill1,15,0.00,11.0,752
132,fill1,16,0.00,11.0,752
132,fill01,0,0.00,15.7,752
132,fill01,1,0.00,15.8,752
132,fill01,2,0.00,15.7,752
132,fill01,3,0.00,15.8,752
132,fill01,4,0.00,15.8,752
132,fill01,5,0.00,15.7,752
132,fill01,6,0.00,15.8,752
132,fill01,7,0.00,15.7,752
132,fill01,8,0.00,15.7,752
132,fill01,9,0.00,15.8,752
132,fill01,10,0.00,15.7,752
132,fill01,11,0.00,15.8,752
132,fill01,12,0.00,15.7,752
132,fill01,13,0.00,15.7,752
132,fill01,14,0.00,15.8,752
132,fill01,15,0.00,15.7,752
132,fill01,16,0.00,15.8,752
176,fill0,0,0.00,13.4,565
176,fill0,1,0.00,13.3,565
176,fill0,2,0.00,13.4,565
176,fill0,3,0.00,13.4,565
176,fill0,4,0.00,13.4,565
176,fill0,5,0.00,13.3,565
176,fill0,6,0.00,13.4,565
176,fill0,7,0.00,13.4,565
176,fill0,8,0.00,13.1,565
176,fill0,9,0.00,13.3,565
176,fill0,10,0.00,13.3,565
176,fill0,11,0.00,13.5,565
176,fill0,12,0.00,13.4,565
176,fill0,13,0.00,13.3,565
176,fill0,14,0.00,13.3,565
176,fill0,15,0.00,13.5,565
176,fill0,16,0.00,13.3,565
176,fill1,0,0.00,13.4,565
176,fill1,1,0.00,13.4,565
176,fill1,2,0.00,13.3,565
176,fill1,3,0.00,13.4,565
176,fill1,4,0.00,13.4,565
176,fill1,5,0.00,13.3,565
176,fill1,6,0.00,13.3,565
176,fill1,7,0.00,13.3,565
176,fill1,8,0.00,13.3,565
176,fill1,9,0.00,13.4,565
176,fill1,10,0.00,13.4,565
176,fill1,11,0.00,13.3,565
176,fill1,12,0.00,13.3,565
176,fill1,13,0.00,13.5,565
176,fill1,14,0.00,13.4,565
176,fill1,15,0.00,13.3,565
176,fill1,16,0.00,13.4,565
176,fill01,0,0.00,18.1,565
176,fill01,1,0.00,18.1,565
176,fill01,2,0.00,18.1,565
176,fill01,3,0.00,18.1,565
176,fill01,4,0.00,18.1,565
176,fill01,5,0.00,18.1,565
176,fill01,6,0.00,18.1,565
176,fill01,7,0.00,18.1,565
176,fill01,8,0.00,18.1,565
176,fill01,9,0.00,18.1,565
176,fill01,10,0.00,18.2,565
176,fill01,11,0.00,18.1,565
176,fill01,12,0.00,18.1,565
176,fill01,13,0.00,18.2,565
176,fill01,14,0.00,18.1,565
176,fill01,15,0.00,18.1,565
176,fill01,16,0.00,18.1,565
236,fill0,0,0.00,15.0,424
236,fill0,1,0.00,15.0,424
236,fill0,2,0.00,15.0,424
236,fill0,3,0.00,15.0,424
236,fill0,4,0.00,15.0,424
236,fill0,5,0.00,15.0,424
236,fill0,6,0.00,15.0,424
236,fill0,7,0.00,15.0,424
236,fill0,8,0.00,15.0,424
236,fill0,9,0.00,15.0,424
236,fill0,10,0.00,14.9,424
236,fill0,11,0.00,15.0,424
236,fill0,12,0.00,15.0,424
236,fill0,13,0.00,15.0,424
236,fill0,14,0.00,14.9,424
236,fill0,15,0.00,14.9,424
236,fill0,16,0.00,15.0,424
236,fill1,0,0.00,15.0,424
236,fill1,1,0.00,15.0,424
236,fill1,2,0.00,14.9,424
236,fill1,3,0.00,15.0,424
236,fill1,4,0.00,15.0,424
236,fill1,5,0.00,15.0,424
236,fill1,6,0.00,14.9,424
236,fill1,7,0.00,14.9,424
236,fill1,8,0.00,15.0,424
236,fill1,9,0.00,15.0,424
236,fill1,10,0.00,15.0,424
236,fill1,11,0.00,14.9,424
236,fill1,12,0.00,15.0,424
236,fill1,13,0.00,15.0,424
236,fill1,14,0.00,15.0,424
236,fill1,15,0.00,14.9,424
236,fill1,16,0.00,14.9,424
236,fill01,0,0.00,18.3,424
236,fill01,1,0.00,18.3,424
236,fill01,2,0.00,18.3,424
236,fill01,3,0.00,18.3,424
236,fill01,4,0.00,18.3,424
236,fill01,5,0.00,18.3,424
236,fill01,6,0.00,18.3,424
236,fill01,7,0.00,18.3,424
236,fill01,8,0.00,18.3,424
236,fill01,9,0.00,18.3,424
236,fill01,10,0.00,18.3,424
236,fill01,11,0.00,18.3,424
236,fill01,12,0.00,18.3,424
236,fill01,13,0.00,18.3,424
236,fill01,14,0.00,18.3,424
236,fill01,15,0.00,18.3,424
236,fill01,16,0.00,18.3,424
312,fill0,0,0.00,19.1,319
312,fill0,1,0.00,19.0,319
312,fill0,2,0.00,19.1,319
312,fill0,3,0.00,19.0,319
312,fill0,4,0.00,19.0,319
312,fill0,5,0.00,18.9,319
312,fill0,6,0.00,19.1,319
312,fill0,7,0.00,19.1,319
312,fill0,8,0.00,19.0,319
312,fill0,9,0.00,19.0,319
312,fill0,10,0.00,19.0,319
312,fill0,11,0.00,19.0,319
312,fill0,12,0.00,19.0,319
312,fill0,13,0.00,19.0,319
312,fill0,14,0.00,19.1,319
312,fill0,15,0.00,19.0,319
312,fill0,16,0.00,19.0,319
312,fill1,0,0.00,19.0,319
312,fill1,1,0.00,19.0,319
312,fill1,2,0.00,18.9,319
312,fill1,3,0.00,19.0,319
312,fill1,4,0.00,19.0,319
312,fill1,5,0.00,19.1,319
312,fill1,6,0.00,19.0,319
312,fill1,7,0.00,19.1,319
312,fill1,8,0.00,19.0,319
312,fill1,9,0.00,19.1,319
312,fill1,10,0.00,19.0,319
312,fill1,11,0.00,19.0,319
312,fill1,12,0.00,19.0,319
312,fill1,13,0.00,19.0,319
312,fill1,14,0.00,18.9,319
312,fill1,15,0.00,19.1,319
312,fill1,16,0.00,19.0,319
312,fill01,0,0.00,23.6,319
312,fill01,1,0.00,23.7,319
312,fill01,2,0.00,23.6,319
312,fill01,3,0.00,23.6,319
312,fill01,4,0.00,23.7,319
312,fill01,5,0.00,23.7,319
312,fill01,6,0.00,23.6,319
312,fill01,7,0.00,23.6,319
312,fill01,8,0.00,23.7,319
312,fill01,9,0.00,23.7,319
312,fill01,10,0.00,23.6,319
312,fill01,11,0.00,23.6,319
312,fill01,12,0.00,23.6,319
312,fill01,13,0.00,23.6,319
312,fill01,14,0.00,23.6,319
312,fill01,15,0.00,23.6,319
312,fill01,16,0.00,23.6,319
416,fill0,0,0.00,24.2,240
416,fill0,1,0.00,24.2,240
416,fill0,2,0.00,24.2,240
416,fill0,3,0.00,24.4,240
416,fill0,4,0.00,24.1,240
416,fill0,5,0.00,24.3,240
416,fill0,6,0.00,24.2,240
416,fill0,7,0.00,24.2,240
416,fill0,8,0.00,24.2,240
416,fill0,9,0.00,24.2,240
416,fill0,10,0.00,24.2,240
416,fill0,11,0.00,24.3,240
416,fill0,12,0.00,24.4,240
416,fill0,13,0.00,24.3,240
416,fill0,14,0.00,24.1,240
416,fill0,15,0.00,24.2,240
416,fill0,16,0.00,24.3,240
416,fill1,0,0.00,24.2,240
416,fill1,1,0.00,24.1,240
416,fill1,2,0.00,24.2,240
416,fill1,3,0.00,24.2,240
416,fill1,4,0.00,24.1,240
416,fill1,5,0.00,24.2,240
416,fill1,6,0.00,24.3,240
416,fill1,7,0.00,24.2,240
416,fill1,8,0.00,24.3,240
416,fill1,9,0.00,24.3,240
416,fill1,10,0.00,24.1,240
416,fill1,11,0.00,24.1,240
416,fill1,12,0.00,24.1,240
416,fill1,13,0.00,24.3,240
416,fill1,14,0.00,24.2,240
416,fill1,15,0.00,24.4,240
416,fill1,16,0.00,24.4,240
416,fill01,0,0.00,28.5,240
416,fill01,1,0.00,28.8,240
416,fill01,2,0.00,28.7,240
416,fill01,3,0.00,28.8,240
416,fill01,4,0.00,28.7,240
416,fill01,5,0.00,28.7,240
416,fill01,6,0.00,28.7,240
416,fill01,7,0.00,28.7,240
416,fill01,8,0.00,28.6,240
416,fill01,9,0.00,28.6,240
416,fill01,10,0.00,28.6,240
416,fill01,11,0.00,28.6,240
416,fill01,12,0.00,28.6,240
416,fill01,13,0.00,28.7,240
416,fill01,14,0.00,28.6,240
416,fill01,15,0.00,28.7,240
416,fill01,16,0.00,28.9,240
556,fill0,0,0.00,27.6,180
556,fill0,1,0.00,27.2,180
556,fill0,2,0.00,27.4,180
556,fill0,3,0.00,27.4,180
556,fill0,4,0.00,27.3,180
556,fill0,5,0.00,27.6,180
556,fill0,6,0.00,27.4,180
556,fill0,7,0.00,27.4,180
556,fill0,8,0.00,27.2,180
556,fill0,9,0.00,27.2,180
556,fill0,10,0.00,27.4,180
556,fill0,11,0.00,27.4,180
556,fill0,12,0.00,27.4,180
556,fill0,13,0.00,27.5,180
556,fill0,14,0.00,27.5,180
556,fill0,15,0.00,27.1,180
556,fill0,16,0.00,27.4,180
556,fill1,0,0.00,13.4,180
556,fill1,1,0.00,18.7,180
556,fill1,2,0.00,27.1,180
556,fill1,3,0.00,27.3,180
556,fill1,4,0.00,27.2,180
556,fill1,5,0.00,27.1,180
556,fill1,6,0.00,27.4,180
556,fill1,7,0.00,27.3,180
556,fill1,8,0.00,27.2,180
556,fill1,9,0.00,27.2,180
556,fill1,10,0.00,27.2,180
556,fill1,11,0.00,27.1,180
556,fill1,12,0.00,27.3,180
556,fill1,13,0.00,27.2,180
556,fill1,14,0.00,27.3,180
556,fill1,15,0.00,27.3,180
556,fill1,16,0.00,27.2,180
556,fill01,0,0.00,30.9,180
556,fill01,1,0.00,30.8,180
556,fill01,2,0.00,31.1,180
556,fill01,3,0.00,30.9,180
556,fill01,4,0.00,30.8,180
556,fill01,5,0.00,30.7,180
556,fill01,6,0.00,30.6,180
556,fill01,7,0.00,30.9,180
556,fill01,8,0.00,31.0,180
556,fill01,9,0.00,31.0,180
556,fill01,10,0.00,30.6,180
556,fill01,11,0.00,31.0,180
556,fill01,12,0.00,31.0,180
556,fill01,13,0.00,30.9,180
556,fill01,14,0.00,30.9,180
556,fill01,15,0.00,31.0,180
556,fill01,16,0.00,30.9,180
740,fill0,0,0.00,28.5,135
740,fill0,1,0.00,28.4,135
740,fill0,2,0.00,28.5,135
740,fill0,3,0.00,28.4,135
740,fill0,4,0.00,28.4,135
740,fill0,5,0.00,28.3,135
740,fill0,6,0.00,28.4,135
740,fill0,7,0.00,28.4,135
740,fill0,8,0.00,28.4,135
740,fill0,9,0.00,28.4,135
740,fill0,10,0.00,28.5,135
740,fill0,11,0.00,28.5,135
740,fill0,12,0.00,28.4,135
740,fill0,13,0.00,28.4,135
740,fill0,14,0.00,28.3,135
740,fill0,15,0.00,28.4,135
740,fill0,16,0.00,28.4,135
740,fill1,0,0.00,28.4,135
740,fill1,1,0.00,28.5,135
740,fill1,2,0.00,28.5,135
740,fill1,3,0.00,28.4,135
740,fill1,4,0.00,28.4,135
740,fill1,5,0.00,28.4,135
740,fill1,6,0.00,28.4,135
740,fill1,7,0.00,28.5,135
740,fill1,8,0.00,28.5,135
740,fill1,9,0.00,28.5,135
740,fill1,10,0.00,28.4,135
740,fill1,11,0.00,28.5,135
740,fill1,12,0.00,28.5,135
740,fill1,13,0.00,28.4,135
740,fill1,14,0.00,28.4,135
740,fill1,15,0.00,28.3,135
740,fill1,16,0.00,28.5,135
740,fill01,0,0.00,33.2,135
740,fill01,1,0.00,33.1,135
740,fill01,2,0.00,33.0,135
740,fill01,3,0.00,33.0,135
740,fill01,4,0.00,32.9,135
740,fill01,5,0.00,32.9,135
740,fill01,6,0.00,33.2,135
740,fill01,7,0.00,33.1,135
740,fill01,8,0.00,32.9,135
740,fill01,9,0.00,33.0,135
740,fill01,10,0.00,33.0,135
740,fill01,11,0.00,32.9,135
740,fill01,12,0.00,33.1,135
740,fill01,13,0.00,33.0,135
