Size,Algo,Trial,Stampms,GB/s,Iters
800,fill0,0,0.00,75.2,125
800,fill0,1,0.00,75.2,125
800,fill0,2,0.00,75.1,125
800,fill0,3,0.00,75.1,125
800,fill0,4,0.00,74.8,125
800,fill0,5,0.00,75.1,125
800,fill0,6,0.00,75.1,125
800,fill0,7,0.00,75.1,125
800,fill0,8,0.00,75.1,125
800,fill0,9,0.00,75.0,125
800,fill0,10,0.00,75.2,125
800,fill0,11,0.00,75.4,125
800,fill0,12,0.00,75.3,125
800,fill0,13,0.00,75.5,125
800,fill0,14,0.00,75.4,125
800,fill0,15,0.00,75.4,125
800,fill0,16,0.00,75.5,125
800,fill1,0,0.00,75.3,125
800,fill1,1,0.00,75.2,125
800,fill1,2,0.00,75.3,125
800,fill1,3,0.00,75.4,125
800,fill1,4,0.00,75.4,125
800,fill1,5,0.00,75.4,125
800,fill1,6,0.00,75.4,125
800,fill1,7,0.00,75.4,125
800,fill1,8,0.00,75.5,125
800,fill1,9,0.00,75.5,125
800,fill1,10,0.00,75.5,125
800,fill1,11,0.00,75.4,125
800,fill1,12,0.00,75.4,125
800,fill1,13,0.00,75.4,125
800,fill1,14,0.00,75.4,125
800,fill1,15,0.00,75.3,125
800,fill1,16,0.00,75.2,125
804,fill0,0,0.00,73.3,125
804,fill0,1,0.00,73.1,125
804,fill0,2,0.00,73.2,125
804,fill0,3,0.00,73.1,125
804,fill0,4,0.00,73.2,125
804,fill0,5,0.00,73.2,125
804,fill0,6,0.00,73.1,125
804,fill0,7,0.00,73.1,125
804,fill0,8,0.00,73.1,125
804,fill0,9,0.00,73.1,125
804,fill0,10,0.00,73.0,125
804,fill0,11,0.00,72.9,125
804,fill0,12,0.00,72.9,125
804,fill0,13,0.00,72.9,125
804,fill0,14,0.00,72.9,125
804,fill0,15,0.00,72.8,125
804,fill0,16,0.00,72.9,125
804,fill1,0,0.00,73.2,125
804,fill1,1,0.00,73.1,125
804,fill1,2,0.00,73.1,125
804,fill1,3,0.00,73.1,125
804,fill1,4,0.00,73.0,125
804,fill1,5,0.00,73.0,125
804,fill1,6,0.00,73.0,125
804,fill1,7,0.00,72.9,125
804,fill1,8,0.00,72.9,125
804,fill1,9,0.00,72.8,125
804,fill1,10,0.00,72.9,125
804,fill1,11,0.00,72.9,125
804,fill1,12,0.00,72.9,125
804,fill1,13,0.00,72.9,125
804,fill1,14,0.00,73.0,125
804,fill1,15,0.00,73.0,125
804,fill1,16,0.00,73.1,125
808,fill0,0,0.00,70.9,124
808,fill0,1,0.00,70.9,124
808,fill0,2,0.00,70.8,124
808,fill0,3,0.00,70.8,124
808,fill0,4,0.00,70.8,124
808,fill0,5,0.00,70.8,124
808,fill0,6,0.00,70.8,124
808,fill0,7,0.00,70.8,124
808,fill0,8,0.00,70.9,124
808,fill0,9,0.00,70.9,124
808,fill0,10,0.00,70.9,124
808,fill0,11,0.00,70.9,124
808,fill0,12,0.00,71.0,124
808,fill0,13,0.00,71.0,124
808,fill0,14,0.00,71.0,124
808,fill0,15,0.00,71.0,124
808,fill0,16,0.00,71.1,124
808,fill1,0,0.00,70.7,124
808,fill1,1,0.00,70.8,124
808,fill1,2,0.00,70.9,124
808,fill1,3,0.00,70.9,124
808,fill1,4,0.00,70.9,124
808,fill1,5,0.00,71.0,124
808,fill1,6,0.00,70.9,124
808,fill1,7,0.00,71.0,124
808,fill1,8,0.00,71.1,124
808,fill1,9,0.00,71.1,124
808,fill1,10,0.00,71.0,124
808,fill1,11,0.00,71.0,124
808,fill1,12,0.00,70.9,124
808,fill1,13,0.00,70.9,124
808,fill1,14,0.00,70.8,124
808,fill1,15,0.00,70.9,124
808,fill1,16,0.00,70.8,124
812,fill0,0,0.00,69.1,124
812,fill0,1,0.00,69.0,124
812,fill0,2,0.00,69.1,124
812,fill0,3,0.00,69.2,124
812,fill0,4,0.00,69.0,124
812,fill0,5,0.00,69.0,124
812,fill0,6,0.00,69.0,124
812,fill0,7,0.00,69.0,124
812,fill0,8,0.00,68.9,124
812,fill0,9,0.00,68.9,124
812,fill0,10,0.00,68.9,124
812,fill0,11,0.00,68.9,124
812,fill0,12,0.00,68.8,124
812,fill0,13,0.00,68.8,124
812,fill0,14,0.00,68.8,124
812,fill0,15,0.00,68.8,124
812,fill0,16,0.00,68.9,124
812,fill1,0,0.00,68.4,124
812,fill1,1,0.00,68.6,124
812,fill1,2,0.00,68.5,124
812,fill1,3,0.00,68.5,124
812,fill1,4,0.00,68.5,124
812,fill1,5,0.00,68.5,124
812,fill1,6,0.00,68.8,124
812,fill1,7,0.00,68.5,124
812,fill1,8,0.00,68.4,124
812,fill1,9,0.00,68.5,124
812,fill1,10,0.00,68.5,124
812,fill1,11,0.00,68.6,124
812,fill1,12,0.00,68.5,124
812,fill1,13,0.00,68.7,124
812,fill1,14,0.00,68.6,124
812,fill1,15,0.00,68.7,124
812,fill1,16,0.00,68.7,124
816,fill0,0,0.00,66.9,123
816,fill0,1,0.00,66.9,123
816,fill0,2,0.00,67.0,123
816,fill0,3,0.00,67.0,123
816,fill0,4,0.00,67.0,123
816,fill0,5,0.00,67.0,123
816,fill0,6,0.00,67.1,123
816,fill0,7,0.00,67.1,123
816,fill0,8,0.00,67.1,123
816,fill0,9,0.00,67.1,123
816,fill0,10,0.00,67.2,123
816,fill0,11,0.00,67.2,123
816,fill0,12,0.00,67.2,123
816,fill0,13,0.00,67.1,123
816,fill0,14,0.00,67.2,123
816,fill0,15,0.00,67.1,123
816,fill0,16,0.00,67.1,123
816,fill1,0,0.00,67.1,123
816,fill1,1,0.00,67.1,123
816,fill1,2,0.00,67.1,123
816,fill1,3,0.00,67.2,123
816,fill1,4,0.00,67.1,123
816,fill1,5,0.00,67.1,123
816,fill1,6,0.00,67.1,123
816,fill1,7,0.00,67.0,123
816,fill1,8,0.00,67.0,123
816,fill1,9,0.00,66.9,123
816,fill1,10,0.00,66.9,123
816,fill1,11,0.00,67.0,123
816,fill1,12,0.00,66.9,123
816,fill1,13,0.00,66.9,123
816,fill1,14,0.00,66.6,123
816,fill1,15,0.00,66.7,123
816,fill1,16,0.00,67.0,123
820,fill0,0,0.00,65.3,122
820,fill0,1,0.00,65.4,122
820,fill0,2,0.00,65.3,122
820,fill0,3,0.00,65.3,122
820,fill0,4,0.00,65.3,122
820,fill0,5,0.00,65.2,122
820,fill0,6,0.00,65.2,122
820,fill0,7,0.00,65.1,122
820,fill0,8,0.00,65.2,122
820,fill0,9,0.00,65.2,122
820,fill0,10,0.00,65.3,122
820,fill0,11,0.00,65.3,122
820,fill0,12,0.00,65.3,122
820,fill0,13,0.00,65.3,122
820,fill0,14,0.00,65.4,122
820,fill0,15,0.00,65.4,122
820,fill0,16,0.00,65.4,122
820,fill1,0,0.00,65.1,122
820,fill1,1,0.00,65.2,122
820,fill1,2,0.00,64.7,122
820,fill1,3,0.00,65.3,122
820,fill1,4,0.00,65.3,122
820,fill1,5,0.00,65.3,122
820,fill1,6,0.00,64.8,122
820,fill1,7,0.00,65.3,122
820,fill1,8,0.00,64.8,122
820,fill1,9,0.00,65.4,122
820,fill1,10,0.00,65.5,122
820,fill1,11,0.00,65.4,122
820,fill1,12,0.00,65.4,122
820,fill1,13,0.00,65.3,122
820,fill1,14,0.00,65.3,122
820,fill1,15,0.00,65.3,122
820,fill1,16,0.00,65.3,122
824,fill0,0,0.00,63.7,122
824,fill0,1,0.00,63.8,122
824,fill0,2,0.00,63.8,122
824,fill0,3,0.00,63.8,122
824,fill0,4,0.00,63.7,122
824,fill0,5,0.00,63.7,122
824,fill0,6,0.00,63.7,122
824,fill0,7,0.00,63.7,122
824,fill0,8,0.00,63.6,122
824,fill0,9,0.00,63.6,122
824,fill0,10,0.00,63.5,122
824,fill0,11,0.00,63.6,122
824,fill0,12,0.00,63.5,122
824,fill0,13,0.00,63.6,122
824,fill0,14,0.00,63.6,122
824,fill0,15,0.00,63.6,122
824,fill0,16,0.00,63.6,122
824,fill1,0,0.00,62.3,122
824,fill1,1,0.00,62.0,122
824,fill1,2,0.00,62.1,122
824,fill1,3,0.00,61.9,122
824,fill1,4,0.00,63.5,122
824,fill1,5,0.00,62.0,122
824,fill1,6,0.00,62.2,122
824,fill1,7,0.00,63.7,122
824,fill1,8,0.00,63.6,122
824,fill1,9,0.00,63.7,122
824,fill1,10,0.00,62.5,122
824,fill1,11,0.00,62.1,122
824,fill1,12,0.00,62.4,122
824,fill1,13,0.00,61.9,122
824,fill1,14,0.00,62.3,122
824,fill1,15,0.00,63.7,122
824,fill1,16,0.00,62.3,122
828,fill0,0,0.00,62.2,121
828,fill0,1,0.00,62.2,121
828,fill0,2,0.00,62.2,121
828,fill0,3,0.00,62.2,121
828,fill0,4,0.00,62.2,121
828,fill0,5,0.00,62.3,121
828,fill0,6,0.00,62.3,121
828,fill0,7,0.00,62.3,121
828,fill0,8,0.00,62.2,121
828,fill0,9,0.00,62.2,121
828,fill0,10,0.00,62.2,121
828,fill0,11,0.00,62.1,121
828,fill0,12,0.00,62.1,121
828,fill0,13,0.00,62.1,121
828,fill0,14,0.00,62.0,121
828,fill0,15,0.00,62.0,121
828,fill0,16,0.00,62.0,121
828,fill1,0,0.00,61.2,121
828,fill1,1,0.00,61.1,121
828,fill1,2,0.00,61.3,121
828,fill1,3,0.00,61.1,121
828,fill1,4,0.00,61.2,121
828,fill1,5,0.00,60.9,121
828,fill1,6,0.00,60.9,121
828,fill1,7,0.00,60.9,121
828,fill1,8,0.00,61.2,121
828,fill1,9,0.00,60.9,121
828,fill1,10,0.00,61.3,121
828,fill1,11,0.00,61.1,121
828,fill1,12,0.00,61.5,121
828,fill1,13,0.00,61.2,121
828,fill1,14,0.00,61.1,121
828,fill1,15,0.00,61.2,121
828,fill1,16,0.00,61.5,121
832,fill0,0,0.00,75.3,121
832,fill0,1,0.00,75.4,121
832,fill0,2,0.00,75.3,121
832,fill0,3,0.00,75.5,121
832,fill0,4,0.00,75.4,121
832,fill0,5,0.00,75.5,121
832,fill0,6,0.00,75.5,121
832,fill0,7,0.00,75.5,121
832,fill0,8,0.00,75.5,121
832,fill0,9,0.00,75.6,121
832,fill0,10,0.00,75.6,121
832,fill0,11,0.00,75.6,121
832,fill0,12,0.00,75.6,121
832,fill0,13,0.00,75.6,121
832,fill0,14,0.00,75.5,121
832,fill0,15,0.00,75.5,121
832,fill0,16,0.00,75.5,121
832,fill1,0,0.00,75.0,121
832,fill1,1,0.00,75.5,121
832,fill1,2,0.00,75.6,121
832,fill1,3,0.00,75.6,121
832,fill1,4,0.00,75.6,121
832,fill1,5,0.00,75.6,121
832,fill1,6,0.00,75.6,121
832,fill1,7,0.00,75.6,121
832,fill1,8,0.00,75.5,121
832,fill1,9,0.00,75.5,121
832,fill1,10,0.00,75.5,121
832,fill1,11,0.00,75.5,121
832,fill1,12,0.00,75.5,121
832,fill1,13,0.00,75.4,121
832,fill1,14,0.00,75.4,121
832,fill1,15,0.00,75.3,121
832,fill1,16,0.00,75.4,121
836,fill0,0,0.00,73.5,120
836,fill0,1,0.00,73.4,120
836,fill0,2,0.00,73.3,120
836,fill0,3,0.00,73.3,120
836,fill0,4,0.00,73.3,120
836,fill0,5,0.00,73.3,120
836,fill0,6,0.00,73.3,120
836,fill0,7,0.00,9.3,120
836,fill0,8,0.00,73.1,120
836,fill0,9,0.00,73.3,120
836,fill0,10,0.00,73.2,120
836,fill0,11,0.00,73.3,120
836,fill0,12,0.00,73.3,120
836,fill0,13,0.00,73.3,120
836,fill0,14,0.00,73.3,120
836,fill0,15,0.00,73.3,120
836,fill0,16,0.00,73.4,120
836,fill1,0,0.00,72.8,120
836,fill1,1,0.00,72.2,120
836,fill1,2,0.00,73.1,120
836,fill1,3,0.00,72.6,120
836,fill1,4,0.00,72.6,120
836,fill1,5,0.00,72.9,120
836,fill1,6,0.00,73.0,120
836,fill1,7,0.00,73.3,120
836,fill1,8,0.00,73.3,120
836,fill1,9,0.00,73.3,120
836,fill1,10,0.00,73.4,120
836,fill1,11,0.00,73.2,120
836,fill1,12,0.00,73.4,120
836,fill1,13,0.00,73.3,120
836,fill1,14,0.00,73.4,120
836,fill1,15,0.00,73.3,120
836,fill1,16,0.00,73.3,120
840,fill0,0,0.00,71.1,120
840,fill0,1,0.00,71.2,120
840,fill0,2,0.00,71.3,120
840,fill0,3,0.00,71.3,120
840,fill0,4,0.00,71.4,120
840,fill0,5,0.00,71.4,120
840,fill0,6,0.00,71.3,120
840,fill0,7,0.00,71.3,120
840,fill0,8,0.00,71.3,120
840,fill0,9,0.00,71.2,120
840,fill0,10,0.00,71.2,120
840,fill0,11,0.00,71.2,120
840,fill0,12,0.00,71.2,120
840,fill0,13,0.00,71.1,120
840,fill0,14,0.00,71.1,120
840,fill0,15,0.00,71.1,120
840,fill0,16,0.00,71.1,120
840,fill1,0,0.00,71.4,120
840,fill1,1,0.00,71.3,120
840,fill1,2,0.00,71.3,120
840,fill1,3,0.00,71.3,120
840,fill1,4,0.00,71.2,120
840,fill1,5,0.00,71.2,120
840,fill1,6,0.00,71.2,120
840,fill1,7,0.00,71.1,120
840,fill1,8,0.00,71.1,120
840,fill1,9,0.00,71.1,120
840,fill1,10,0.00,71.1,120
840,fill1,11,0.00,71.0,120
840,fill1,12,0.00,71.1,120
840,fill1,13,0.00,70.6,120
840,fill1,14,0.00,71.2,120
840,fill1,15,0.00,71.2,120
840,fill1,16,0.00,71.2,120
844,fill0,0,0.00,69.2,119
844,fill0,1,0.00,69.1,119
844,fill0,2,0.00,69.1,119
844,fill0,3,0.00,69.0,119
844,fill0,4,0.00,69.1,119
844,fill0,5,0.00,69.1,119
844,fill0,6,0.00,69.2,119
844,fill0,7,0.00,69.2,119
844,fill0,8,0.00,69.2,119
844,fill0,9,0.00,69.2,119
844,fill0,10,0.00,69.3,119
844,fill0,11,0.00,69.3,119
844,fill0,12,0.00,69.3,119
844,fill0,13,0.00,69.3,119
844,fill0,14,0.00,69.4,119
844,fill0,15,0.00,69.3,119
844,fill0,16,0.00,69.3,119
844,fill1,0,0.00,69.1,119
844,fill1,1,0.00,69.2,119
844,fill1,2,0.00,69.2,119
844,fill1,3,0.00,69.2,119
844,fill1,4,0.00,69.2,119
844,fill1,5,0.00,69.3,119
844,fill1,6,0.00,69.3,119
844,fill1,7,0.00,69.3,119
844,fill1,8,0.00,69.4,119
844,fill1,9,0.00,69.3,119
844,fill1,10,0.00,69.3,119
844,fill1,11,0.00,69.3,119
844,fill1,12,0.00,69.3,119
844,fill1,13,0.00,69.2,119
844,fill1,14,0.00,69.2,119
844,fill1,15,0.00,69.2,119
844,fill1,16,0.00,69.1,119
848,fill0,0,0.00,67.6,118
848,fill0,1,0.00,67.5,118
848,fill0,2,0.00,67.5,118
848,fill0,3,0.00,67.5,118
848,fill0,4,0.00,67.4,118
848,fill0,5,0.00,67.4,118
848,fill0,6,0.00,67.4,118
848,fill0,7,0.00,67.4,118
848,fill0,8,0.00,67.3,118
848,fill0,9,0.00,67.3,118
848,fill0,10,0.00,67.3,118
848,fill0,11,0.00,67.3,118
848,fill0,12,0.00,67.2,118
848,fill0,13,0.00,67.3,118
848,fill0,14,0.00,67.3,118
848,fill0,15,0.00,67.3,118
848,fill0,16,0.00,67.3,118
848,fill1,0,0.00,67.4,118
848,fill1,1,0.00,67.3,118
848,fill1,2,0.00,67.2,118
848,fill1,3,0.00,67.3,118
848,fill1,4,0.00,67.2,118
848,fill1,5,0.00,67.2,118
848,fill1,6,0.00,67.2,118
848,fill1,7,0.00,67.3,118
848,fill1,8,0.00,67.3,118
848,fill1,9,0.00,67.3,118
848,fill1,10,0.00,67.4,118
848,fill1,11,0.00,67.4,118
848,fill1,12,0.00,67.4,118
848,fill1,13,0.00,67.5,118
848,fill1,14,0.00,67.5,118
848,fill1,15,0.00,67.5,118
848,fill1,16,0.00,67.5,118
852,fill0,0,0.00,65.6,118
852,fill0,1,0.00,65.7,118
852,fill0,2,0.00,65.7,118
852,fill0,3,0.00,65.7,118
852,fill0,4,0.00,65.7,118
852,fill0,5,0.00,65.8,118
852,fill0,6,0.00,65.8,118
852,fill0,7,0.00,65.8,118
852,fill0,8,0.00,65.8,118
852,fill0,9,0.00,65.8,118
852,fill0,10,0.00,65.8,118
852,fill0,11,0.00,65.7,118
852,fill0,12,0.00,65.7,118
852,fill0,13,0.00,65.7,118
852,fill0,14,0.00,65.7,118
852,fill0,15,0.00,65.6,118
852,fill0,16,0.00,65.6,118
852,fill1,0,0.00,65.8,118
852,fill1,1,0.00,65.8,118
852,fill1,2,0.00,65.8,118
852,fill1,3,0.00,65.8,118
852,fill1,4,0.00,65.7,118
852,fill1,5,0.00,65.7,118
852,fill1,6,0.00,65.7,118
852,fill1,7,0.00,65.6,118
852,fill1,8,0.00,65.6,118
852,fill1,9,0.00,65.6,118
852,fill1,10,0.00,65.6,118
852,fill1,11,0.00,65.5,118
852,fill1,12,0.00,65.6,118
852,fill1,13,0.00,65.6,118
852,fill1,14,0.00,65.7,118
852,fill1,15,0.00,65.6,118
852,fill1,16,0.00,65.7,118
856,fill0,0,0.00,64.0,117
856,fill0,1,0.00,64.0,117
856,fill0,2,0.00,63.9,117
856,fill0,3,0.00,64.0,117
856,fill0,4,0.00,64.0,117
856,fill0,5,0.00,64.0,117
856,fill0,6,0.00,63.9,117
