Size,Algo,Trial,Stampms,GB/s,Iters
100,fill0,0,0.00,19.4,1000
100,fill0,1,0.00,19.4,1000
100,fill0,2,0.00,19.5,1000
100,fill0,3,0.00,19.5,1000
100,fill0,4,0.00,19.6,1000
100,fill0,5,0.00,19.4,1000
100,fill0,6,0.00,19.6,1000
100,fill0,7,0.00,19.4,1000
100,fill0,8,0.00,19.6,1000
100,fill0,9,0.00,19.6,1000
100,fill0,10,0.00,19.6,1000
100,fill0,11,0.00,19.5,1000
100,fill0,12,0.00,19.6,1000
100,fill0,13,0.00,19.6,1000
100,fill0,14,0.00,19.6,1000
100,fill0,15,0.00,19.6,1000
100,fill0,16,0.00,19.4,1000
100,fill1,0,0.00,19.6,1000
100,fill1,1,0.00,19.5,1000
100,fill1,2,0.00,19.4,1000
100,fill1,3,0.00,19.3,1000
100,fill1,4,0.00,19.5,1000
100,fill1,5,0.00,19.5,1000
100,fill1,6,0.00,19.6,1000
100,fill1,7,0.00,19.4,1000
100,fill1,8,0.00,19.6,1000
100,fill1,9,0.00,19.3,1000
100,fill1,10,0.00,19.6,1000
100,fill1,11,0.00,19.6,1000
100,fill1,12,0.00,19.6,1000
100,fill1,13,0.00,19.5,1000
100,fill1,14,0.00,19.6,1000
100,fill1,15,0.00,19.6,1000
100,fill1,16,0.00,19.5,1000
100,fill01,0,0.00,20.0,1000
100,fill01,1,0.00,20.0,1000
100,fill01,2,0.00,20.0,1000
100,fill01,3,0.00,20.1,1000
100,fill01,4,0.00,20.0,1000
100,fill01,5,0.00,20.0,1000
100,fill01,6,0.00,20.1,1000
100,fill01,7,0.00,20.0,1000
100,fill01,8,0.00,20.0,1000
100,fill01,9,0.00,20.1,1000
100,fill01,10,0.00,20.0,1000
100,fill01,11,0.00,20.0,1000
100,fill01,12,0.00,20.1,1000
100,fill01,13,0.00,20.0,1000
100,fill01,14,0.00,20.0,1000
100,fill01,15,0.00,20.1,1000
100,fill01,16,0.00,20.1,1000
132,fill0,0,0.00,25.5,752
132,fill0,1,0.00,25.6,752
132,fill0,2,0.00,25.7,752
132,fill0,3,0.00,25.8,752
132,fill0,4,0.00,25.6,752
132,fill0,5,0.00,25.6,752
132,fill0,6,0.00,25.7,752
132,fill0,7,0.00,25.7,752
132,fill0,8,0.00,25.7,752
132,fill0,9,0.00,25.5,752
132,fill0,10,0.00,25.7,752
132,fill0,11,0.00,25.8,752
132,fill0,12,0.00,25.8,752
132,fill0,13,0.00,25.3,752
132,fill0,14,0.00,25.3,752
132,fill0,15,0.00,25.6,752
132,fill0,16,0.00,25.5,752
132,fill1,0,0.00,25.8,752
132,fill1,1,0.00,25.7,752
132,fill1,2,0.00,25.4,752
132,fill1,3,0.00,25.3,752
132,fill1,4,0.00,25.3,752
132,fill1,5,0.00,25.8,752
132,fill1,6,0.00,26.0,752
132,fill1,7,0.00,25.6,752
132,fill1,8,0.00,25.4,752
132,fill1,9,0.00,25.8,752
132,fill1,10,0.00,25.6,752
132,fill1,11,0.00,25.6,752
132,fill1,12,0.00,25.4,752
132,fill1,13,0.00,25.8,752
132,fill1,14,0.00,25.7,752
132,fill1,15,0.00,25.5,752
132,fill1,16,0.00,25.6,752
132,fill01,0,0.00,26.4,752
132,fill01,1,0.00,26.4,752
132,fill01,2,0.00,26.4,752
132,fill01,3,0.00,26.5,752
132,fill01,4,0.00,26.5,752
132,fill01,5,0.00,26.4,752
132,fill01,6,0.00,26.4,752
132,fill01,7,0.00,26.5,752
132,fill01,8,0.00,26.5,752
132,fill01,9,0.00,26.4,752
132,fill01,10,0.00,26.4,752
132,fill01,11,0.00,26.4,752
132,fill01,12,0.00,26.5,752
132,fill01,13,0.00,26.4,752
132,fill01,14,0.00,26.4,752
